ordinal,_key,_id,_from,_to,edge_family,edge_type,perspective,unique_id,references_table,references_column,weight,priority_weight,field_component,variable_name,origin,join_type
11,certification:cert_id:structural:system:has_column:SYS_HAS_CER_CER_001,manufacturing_graph_edge/certification:cert_id:structural:system:has_column:SYS_HAS_CER_CER_001,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:cert_id:structural:system:none:none,structural,has_column,system,SYS_HAS_CER_CER_001,,,,,,,,
12,certification:receipt_id:structural:system:has_column:SYS_HAS_CER_REC_001,manufacturing_graph_edge/certification:receipt_id:structural:system:has_column:SYS_HAS_CER_REC_001,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:receipt_id:structural:system:none:none,structural,has_column,system,SYS_HAS_CER_REC_001,,,,,,,,
13,certification:part_id:structural:system:has_column:SYS_HAS_CER_PAR_001,manufacturing_graph_edge/certification:part_id:structural:system:has_column:SYS_HAS_CER_PAR_001,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:part_id:structural:system:none:none,structural,has_column,system,SYS_HAS_CER_PAR_001,,,,,,,,
14,certification:supplier_id:structural:system:has_column:SYS_HAS_CER_SUP_001,manufacturing_graph_edge/certification:supplier_id:structural:system:has_column:SYS_HAS_CER_SUP_001,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:supplier_id:structural:system:none:none,structural,has_column,system,SYS_HAS_CER_SUP_001,,,,,,,,
15,certification:cert_type:structural:system:has_column:SYS_HAS_CER_CER_002,manufacturing_graph_edge/certification:cert_type:structural:system:has_column:SYS_HAS_CER_CER_002,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:cert_type:structural:system:none:none,structural,has_column,system,SYS_HAS_CER_CER_002,,,,,,,,
16,certification:issued_date:structural:system:has_column:SYS_HAS_CER_ISS_001,manufacturing_graph_edge/certification:issued_date:structural:system:has_column:SYS_HAS_CER_ISS_001,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:issued_date:structural:system:none:none,structural,has_column,system,SYS_HAS_CER_ISS_001,,,,,,,,
17,certification:expiry_date:structural:system:has_column:SYS_HAS_CER_EXP_001,manufacturing_graph_edge/certification:expiry_date:structural:system:has_column:SYS_HAS_CER_EXP_001,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:expiry_date:structural:system:none:none,structural,has_column,system,SYS_HAS_CER_EXP_001,,,,,,,,
18,certification:status:structural:system:has_column:SYS_HAS_CER_STA_001,manufacturing_graph_edge/certification:status:structural:system:has_column:SYS_HAS_CER_STA_001,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:status:structural:system:none:none,structural,has_column,system,SYS_HAS_CER_STA_001,,,,,,,,
19,certification:created_at:structural:system:has_column:SYS_HAS_CER_CRE_001,manufacturing_graph_edge/certification:created_at:structural:system:has_column:SYS_HAS_CER_CRE_001,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:created_at:structural:system:none:none,structural,has_column,system,SYS_HAS_CER_CRE_001,,,,,,,,
20,customer_order:order_id:structural:system:has_column:SYS_HAS_CUS_ORD_002,manufacturing_graph_edge/customer_order:order_id:structural:system:has_column:SYS_HAS_CUS_ORD_002,manufacturing_graph_node/customer_order:entity:structural:system:none:none,manufacturing_graph_node/customer_order:order_id:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_ORD_002,,,,,,,,
21,customer_order:customer_name:structural:system:has_column:SYS_HAS_CUS_CUS_001,manufacturing_graph_edge/customer_order:customer_name:structural:system:has_column:SYS_HAS_CUS_CUS_001,manufacturing_graph_node/customer_order:entity:structural:system:none:none,manufacturing_graph_node/customer_order:customer_name:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_CUS_001,,,,,,,,
22,customer_order:order_date:structural:system:has_column:SYS_HAS_CUS_ORD_001,manufacturing_graph_edge/customer_order:order_date:structural:system:has_column:SYS_HAS_CUS_ORD_001,manufacturing_graph_node/customer_order:entity:structural:system:none:none,manufacturing_graph_node/customer_order:order_date:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_ORD_001,,,,,,,,
23,customer_order:site_id:structural:system:has_column:SYS_HAS_CUS_SIT_001,manufacturing_graph_edge/customer_order:site_id:structural:system:has_column:SYS_HAS_CUS_SIT_001,manufacturing_graph_node/customer_order:entity:structural:system:none:none,manufacturing_graph_node/customer_order:site_id:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_SIT_001,,,,,,,,
24,customer_order:status:structural:system:has_column:SYS_HAS_CUS_STA_001,manufacturing_graph_edge/customer_order:status:structural:system:has_column:SYS_HAS_CUS_STA_001,manufacturing_graph_node/customer_order:entity:structural:system:none:none,manufacturing_graph_node/customer_order:status:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_STA_001,,,,,,,,
25,customer_order:created_at:structural:system:has_column:SYS_HAS_CUS_CRE_001,manufacturing_graph_edge/customer_order:created_at:structural:system:has_column:SYS_HAS_CUS_CRE_001,manufacturing_graph_node/customer_order:entity:structural:system:none:none,manufacturing_graph_node/customer_order:created_at:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_CRE_001,,,,,,,,
26,customer_order:completed_date:structural:system:has_column:SYS_HAS_CUS_COM_001,manufacturing_graph_edge/customer_order:completed_date:structural:system:has_column:SYS_HAS_CUS_COM_001,manufacturing_graph_node/customer_order:entity:structural:system:none:none,manufacturing_graph_node/customer_order:completed_date:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_COM_001,,,,,,,,
27,customer_order_line:order_line_id:structural:system:has_column:SYS_HAS_CUS_ORD_004,manufacturing_graph_edge/customer_order_line:order_line_id:structural:system:has_column:SYS_HAS_CUS_ORD_004,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:order_line_id:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_ORD_004,,,,,,,,
28,customer_order_line:order_id:structural:system:has_column:SYS_HAS_CUS_ORD_003,manufacturing_graph_edge/customer_order_line:order_id:structural:system:has_column:SYS_HAS_CUS_ORD_003,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:order_id:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_ORD_003,,,,,,,,
29,customer_order_line:line_no:structural:system:has_column:SYS_HAS_CUS_LIN_001,manufacturing_graph_edge/customer_order_line:line_no:structural:system:has_column:SYS_HAS_CUS_LIN_001,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:line_no:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_LIN_001,,,,,,,,
30,customer_order_line:part_id:structural:system:has_column:SYS_HAS_CUS_PAR_001,manufacturing_graph_edge/customer_order_line:part_id:structural:system:has_column:SYS_HAS_CUS_PAR_001,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:part_id:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_PAR_001,,,,,,,,
31,customer_order_line:site_id:structural:system:has_column:SYS_HAS_CUS_SIT_002,manufacturing_graph_edge/customer_order_line:site_id:structural:system:has_column:SYS_HAS_CUS_SIT_002,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:site_id:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_SIT_002,,,,,,,,
32,customer_order_line:order_qty:structural:system:has_column:SYS_HAS_CUS_ORD_005,manufacturing_graph_edge/customer_order_line:order_qty:structural:system:has_column:SYS_HAS_CUS_ORD_005,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:order_qty:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_ORD_005,,,,,,,,
33,customer_order_line:unit_price:structural:system:has_column:SYS_HAS_CUS_UNI_001,manufacturing_graph_edge/customer_order_line:unit_price:structural:system:has_column:SYS_HAS_CUS_UNI_001,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:unit_price:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_UNI_001,,,,,,,,
34,customer_order_line:need_by_date:structural:system:has_column:SYS_HAS_CUS_NEE_001,manufacturing_graph_edge/customer_order_line:need_by_date:structural:system:has_column:SYS_HAS_CUS_NEE_001,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:need_by_date:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_NEE_001,,,,,,,,
35,customer_order_line:desired_release_date:structural:system:has_column:SYS_HAS_CUS_DES_001,manufacturing_graph_edge/customer_order_line:desired_release_date:structural:system:has_column:SYS_HAS_CUS_DES_001,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:desired_release_date:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_DES_001,,,,,,,,
36,customer_order_line:created_at:structural:system:has_column:SYS_HAS_CUS_CRE_002,manufacturing_graph_edge/customer_order_line:created_at:structural:system:has_column:SYS_HAS_CUS_CRE_002,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:created_at:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_CRE_002,,,,,,,,
37,customer_order_line:shipped_qty:structural:system:has_column:SYS_HAS_CUS_SHI_002,manufacturing_graph_edge/customer_order_line:shipped_qty:structural:system:has_column:SYS_HAS_CUS_SHI_002,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:shipped_qty:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_SHI_002,,,,,,,,
38,customer_order_line:shipped_date:structural:system:has_column:SYS_HAS_CUS_SHI_001,manufacturing_graph_edge/customer_order_line:shipped_date:structural:system:has_column:SYS_HAS_CUS_SHI_001,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:shipped_date:structural:system:none:none,structural,has_column,system,SYS_HAS_CUS_SHI_001,,,,,,,,
39,gl_events:event_id:structural:system:has_column:SYS_HAS_GLE_EVE_002,manufacturing_graph_edge/gl_events:event_id:structural:system:has_column:SYS_HAS_GLE_EVE_002,manufacturing_graph_node/gl_events:entity:structural:system:none:none,manufacturing_graph_node/gl_events:event_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLE_EVE_002,,,,,,,,
40,gl_events:job_id:structural:system:has_column:SYS_HAS_GLE_JOB_001,manufacturing_graph_edge/gl_events:job_id:structural:system:has_column:SYS_HAS_GLE_JOB_001,manufacturing_graph_node/gl_events:entity:structural:system:none:none,manufacturing_graph_node/gl_events:job_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLE_JOB_001,,,,,,,,
41,gl_events:event_type:structural:system:has_column:SYS_HAS_GLE_EVE_003,manufacturing_graph_edge/gl_events:event_type:structural:system:has_column:SYS_HAS_GLE_EVE_003,manufacturing_graph_node/gl_events:entity:structural:system:none:none,manufacturing_graph_node/gl_events:event_type:structural:system:none:none,structural,has_column,system,SYS_HAS_GLE_EVE_003,,,,,,,,
42,gl_events:amount:structural:system:has_column:SYS_HAS_GLE_AMO_001,manufacturing_graph_edge/gl_events:amount:structural:system:has_column:SYS_HAS_GLE_AMO_001,manufacturing_graph_node/gl_events:entity:structural:system:none:none,manufacturing_graph_node/gl_events:amount:structural:system:none:none,structural,has_column,system,SYS_HAS_GLE_AMO_001,,,,,,,,
43,gl_events:event_date:structural:system:has_column:SYS_HAS_GLE_EVE_001,manufacturing_graph_edge/gl_events:event_date:structural:system:has_column:SYS_HAS_GLE_EVE_001,manufacturing_graph_node/gl_events:entity:structural:system:none:none,manufacturing_graph_node/gl_events:event_date:structural:system:none:none,structural,has_column,system,SYS_HAS_GLE_EVE_001,,,,,,,,
44,gl_events:source_table:structural:system:has_column:SYS_HAS_GLE_SOU_002,manufacturing_graph_edge/gl_events:source_table:structural:system:has_column:SYS_HAS_GLE_SOU_002,manufacturing_graph_node/gl_events:entity:structural:system:none:none,manufacturing_graph_node/gl_events:source_table:structural:system:none:none,structural,has_column,system,SYS_HAS_GLE_SOU_002,,,,,,,,
45,gl_events:source_id:structural:system:has_column:SYS_HAS_GLE_SOU_001,manufacturing_graph_edge/gl_events:source_id:structural:system:has_column:SYS_HAS_GLE_SOU_001,manufacturing_graph_node/gl_events:entity:structural:system:none:none,manufacturing_graph_node/gl_events:source_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLE_SOU_001,,,,,,,,
46,gl_finished_goods_inventory:line_id:structural:system:has_column:SYS_HAS_GLF_LIN_001,manufacturing_graph_edge/gl_finished_goods_inventory:line_id:structural:system:has_column:SYS_HAS_GLF_LIN_001,manufacturing_graph_node/gl_finished_goods_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_finished_goods_inventory:line_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLF_LIN_001,,,,,,,,
47,gl_finished_goods_inventory:event_id:structural:system:has_column:SYS_HAS_GLF_EVE_002,manufacturing_graph_edge/gl_finished_goods_inventory:event_id:structural:system:has_column:SYS_HAS_GLF_EVE_002,manufacturing_graph_node/gl_finished_goods_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_finished_goods_inventory:event_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLF_EVE_002,,,,,,,,
48,gl_finished_goods_inventory:job_id:structural:system:has_column:SYS_HAS_GLF_JOB_001,manufacturing_graph_edge/gl_finished_goods_inventory:job_id:structural:system:has_column:SYS_HAS_GLF_JOB_001,manufacturing_graph_node/gl_finished_goods_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_finished_goods_inventory:job_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLF_JOB_001,,,,,,,,
49,gl_finished_goods_inventory:part_id:structural:system:has_column:SYS_HAS_GLF_PAR_001,manufacturing_graph_edge/gl_finished_goods_inventory:part_id:structural:system:has_column:SYS_HAS_GLF_PAR_001,manufacturing_graph_node/gl_finished_goods_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_finished_goods_inventory:part_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLF_PAR_001,,,,,,,,
50,gl_finished_goods_inventory:amount:structural:system:has_column:SYS_HAS_GLF_AMO_001,manufacturing_graph_edge/gl_finished_goods_inventory:amount:structural:system:has_column:SYS_HAS_GLF_AMO_001,manufacturing_graph_node/gl_finished_goods_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_finished_goods_inventory:amount:structural:system:none:none,structural,has_column,system,SYS_HAS_GLF_AMO_001,,,,,,,,
51,gl_finished_goods_inventory:event_type:structural:system:has_column:SYS_HAS_GLF_EVE_003,manufacturing_graph_edge/gl_finished_goods_inventory:event_type:structural:system:has_column:SYS_HAS_GLF_EVE_003,manufacturing_graph_node/gl_finished_goods_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_finished_goods_inventory:event_type:structural:system:none:none,structural,has_column,system,SYS_HAS_GLF_EVE_003,,,,,,,,
52,gl_finished_goods_inventory:event_date:structural:system:has_column:SYS_HAS_GLF_EVE_001,manufacturing_graph_edge/gl_finished_goods_inventory:event_date:structural:system:has_column:SYS_HAS_GLF_EVE_001,manufacturing_graph_node/gl_finished_goods_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_finished_goods_inventory:event_date:structural:system:none:none,structural,has_column,system,SYS_HAS_GLF_EVE_001,,,,,,,,
53,gl_job_cost_detail:line_id:structural:system:has_column:SYS_HAS_GLJ_LIN_001,manufacturing_graph_edge/gl_job_cost_detail:line_id:structural:system:has_column:SYS_HAS_GLJ_LIN_001,manufacturing_graph_node/gl_job_cost_detail:entity:structural:system:none:none,manufacturing_graph_node/gl_job_cost_detail:line_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLJ_LIN_001,,,,,,,,
54,gl_job_cost_detail:event_id:structural:system:has_column:SYS_HAS_GLJ_EVE_002,manufacturing_graph_edge/gl_job_cost_detail:event_id:structural:system:has_column:SYS_HAS_GLJ_EVE_002,manufacturing_graph_node/gl_job_cost_detail:entity:structural:system:none:none,manufacturing_graph_node/gl_job_cost_detail:event_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLJ_EVE_002,,,,,,,,
55,gl_job_cost_detail:job_id:structural:system:has_column:SYS_HAS_GLJ_JOB_001,manufacturing_graph_edge/gl_job_cost_detail:job_id:structural:system:has_column:SYS_HAS_GLJ_JOB_001,manufacturing_graph_node/gl_job_cost_detail:entity:structural:system:none:none,manufacturing_graph_node/gl_job_cost_detail:job_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLJ_JOB_001,,,,,,,,
56,gl_job_cost_detail:amount:structural:system:has_column:SYS_HAS_GLJ_AMO_001,manufacturing_graph_edge/gl_job_cost_detail:amount:structural:system:has_column:SYS_HAS_GLJ_AMO_001,manufacturing_graph_node/gl_job_cost_detail:entity:structural:system:none:none,manufacturing_graph_node/gl_job_cost_detail:amount:structural:system:none:none,structural,has_column,system,SYS_HAS_GLJ_AMO_001,,,,,,,,
57,gl_job_cost_detail:event_type:structural:system:has_column:SYS_HAS_GLJ_EVE_003,manufacturing_graph_edge/gl_job_cost_detail:event_type:structural:system:has_column:SYS_HAS_GLJ_EVE_003,manufacturing_graph_node/gl_job_cost_detail:entity:structural:system:none:none,manufacturing_graph_node/gl_job_cost_detail:event_type:structural:system:none:none,structural,has_column,system,SYS_HAS_GLJ_EVE_003,,,,,,,,
58,gl_job_cost_detail:event_date:structural:system:has_column:SYS_HAS_GLJ_EVE_001,manufacturing_graph_edge/gl_job_cost_detail:event_date:structural:system:has_column:SYS_HAS_GLJ_EVE_001,manufacturing_graph_node/gl_job_cost_detail:entity:structural:system:none:none,manufacturing_graph_node/gl_job_cost_detail:event_date:structural:system:none:none,structural,has_column,system,SYS_HAS_GLJ_EVE_001,,,,,,,,
59,gl_raw_materials_inventory:line_id:structural:system:has_column:SYS_HAS_GLR_LIN_001,manufacturing_graph_edge/gl_raw_materials_inventory:line_id:structural:system:has_column:SYS_HAS_GLR_LIN_001,manufacturing_graph_node/gl_raw_materials_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_raw_materials_inventory:line_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLR_LIN_001,,,,,,,,
60,gl_raw_materials_inventory:event_id:structural:system:has_column:SYS_HAS_GLR_EVE_002,manufacturing_graph_edge/gl_raw_materials_inventory:event_id:structural:system:has_column:SYS_HAS_GLR_EVE_002,manufacturing_graph_node/gl_raw_materials_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_raw_materials_inventory:event_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLR_EVE_002,,,,,,,,
61,gl_raw_materials_inventory:job_id:structural:system:has_column:SYS_HAS_GLR_JOB_001,manufacturing_graph_edge/gl_raw_materials_inventory:job_id:structural:system:has_column:SYS_HAS_GLR_JOB_001,manufacturing_graph_node/gl_raw_materials_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_raw_materials_inventory:job_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLR_JOB_001,,,,,,,,
62,gl_raw_materials_inventory:part_id:structural:system:has_column:SYS_HAS_GLR_PAR_001,manufacturing_graph_edge/gl_raw_materials_inventory:part_id:structural:system:has_column:SYS_HAS_GLR_PAR_001,manufacturing_graph_node/gl_raw_materials_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_raw_materials_inventory:part_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLR_PAR_001,,,,,,,,
63,gl_raw_materials_inventory:amount:structural:system:has_column:SYS_HAS_GLR_AMO_001,manufacturing_graph_edge/gl_raw_materials_inventory:amount:structural:system:has_column:SYS_HAS_GLR_AMO_001,manufacturing_graph_node/gl_raw_materials_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_raw_materials_inventory:amount:structural:system:none:none,structural,has_column,system,SYS_HAS_GLR_AMO_001,,,,,,,,
64,gl_raw_materials_inventory:event_type:structural:system:has_column:SYS_HAS_GLR_EVE_003,manufacturing_graph_edge/gl_raw_materials_inventory:event_type:structural:system:has_column:SYS_HAS_GLR_EVE_003,manufacturing_graph_node/gl_raw_materials_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_raw_materials_inventory:event_type:structural:system:none:none,structural,has_column,system,SYS_HAS_GLR_EVE_003,,,,,,,,
65,gl_raw_materials_inventory:event_date:structural:system:has_column:SYS_HAS_GLR_EVE_001,manufacturing_graph_edge/gl_raw_materials_inventory:event_date:structural:system:has_column:SYS_HAS_GLR_EVE_001,manufacturing_graph_node/gl_raw_materials_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_raw_materials_inventory:event_date:structural:system:none:none,structural,has_column,system,SYS_HAS_GLR_EVE_001,,,,,,,,
66,gl_wip_inventory:line_id:structural:system:has_column:SYS_HAS_GLW_LIN_001,manufacturing_graph_edge/gl_wip_inventory:line_id:structural:system:has_column:SYS_HAS_GLW_LIN_001,manufacturing_graph_node/gl_wip_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_wip_inventory:line_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLW_LIN_001,,,,,,,,
67,gl_wip_inventory:event_id:structural:system:has_column:SYS_HAS_GLW_EVE_002,manufacturing_graph_edge/gl_wip_inventory:event_id:structural:system:has_column:SYS_HAS_GLW_EVE_002,manufacturing_graph_node/gl_wip_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_wip_inventory:event_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLW_EVE_002,,,,,,,,
68,gl_wip_inventory:job_id:structural:system:has_column:SYS_HAS_GLW_JOB_001,manufacturing_graph_edge/gl_wip_inventory:job_id:structural:system:has_column:SYS_HAS_GLW_JOB_001,manufacturing_graph_node/gl_wip_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_wip_inventory:job_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLW_JOB_001,,,,,,,,
69,gl_wip_inventory:part_id:structural:system:has_column:SYS_HAS_GLW_PAR_001,manufacturing_graph_edge/gl_wip_inventory:part_id:structural:system:has_column:SYS_HAS_GLW_PAR_001,manufacturing_graph_node/gl_wip_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_wip_inventory:part_id:structural:system:none:none,structural,has_column,system,SYS_HAS_GLW_PAR_001,,,,,,,,
70,gl_wip_inventory:amount:structural:system:has_column:SYS_HAS_GLW_AMO_001,manufacturing_graph_edge/gl_wip_inventory:amount:structural:system:has_column:SYS_HAS_GLW_AMO_001,manufacturing_graph_node/gl_wip_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_wip_inventory:amount:structural:system:none:none,structural,has_column,system,SYS_HAS_GLW_AMO_001,,,,,,,,
71,gl_wip_inventory:event_type:structural:system:has_column:SYS_HAS_GLW_EVE_003,manufacturing_graph_edge/gl_wip_inventory:event_type:structural:system:has_column:SYS_HAS_GLW_EVE_003,manufacturing_graph_node/gl_wip_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_wip_inventory:event_type:structural:system:none:none,structural,has_column,system,SYS_HAS_GLW_EVE_003,,,,,,,,
72,gl_wip_inventory:event_date:structural:system:has_column:SYS_HAS_GLW_EVE_001,manufacturing_graph_edge/gl_wip_inventory:event_date:structural:system:has_column:SYS_HAS_GLW_EVE_001,manufacturing_graph_node/gl_wip_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_wip_inventory:event_date:structural:system:none:none,structural,has_column,system,SYS_HAS_GLW_EVE_001,,,,,,,,
