part_id,part_description,part_class,unit_of_measure,unit_cost,lead_time_days,reorder_point,on_hand_qty,revision,cage_code,drawing_number,material_spec,planner_code,buyer_code,safety_stock,active,created_at,commodity_code
PN-10030,"Aluminum Alloy Sheet 2024-T3, 0.063"" x 12"" x 24""",MAKE,SHT,38.0,14,31.5,90.0,A,0V8H7,DWG-10030-A,2024-T3,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10040,"Inconel 718 Sheet, 0.050"" x 6"" x 12""",MAKE,SHT,210.0,30,16.3,46.6,A,1LNK7,DWG-10040-A,,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10050,"Precision Ball Bearing ABEC-7, 6205-2RS",MAKE,EA,22.4,14,6.3,17.9,A,81205,DWG-10050-A,ABEC-7,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10060,"Carbon Fiber Panel 3K Twill, 0.125"" x 12"" x 24""",MAKE,SHT,185.0,21,42.9,122.7,A,0V8H7,DWG-10060-A,,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10070,"Hydraulic Actuator Seal Kit, Parker A2K",MAKE,EA,67.0,21,23.5,67.1,A,1LNK7,DWG-10070-A,,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10080,"Fuel System O-Ring Kit, MIL-P-5510, Viton",MAKE,EA,31.5,14,11.6,33.1,A,81205,DWG-10080-A,MIL-P-5510,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10090,"Structural Rib Extrusion 7075-T6, 2"" x 1"" x 48""",MAKE,FT,92.0,21,34.0,97.2,A,0V8H7,DWG-10090-A,7075-T6,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10100,"Engine Mount Isolator, Lord J-9613-15",MAKE,EA,155.0,21,7.5,21.5,A,1LNK7,DWG-10100-A,,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10110,"Flight Control Rod End, AN490HT10",MAKE,EA,44.75,14,0.0,0.0,A,81205,DWG-10110-A,AN490HT10,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10120,"Avionics Mounting Tray, .063 Alum 6061-T6",MAKE,EA,28.0,14,0.0,0.0,A,0V8H7,DWG-10120-A,6061-T6,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10130,"Wing Spar Fitting 7050-T7451, LH",MAKE,EA,520.0,30,0.0,0.0,A,1LNK7,DWG-10130-A,7050-T7451,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10140,"Pressure Bulkhead Panel, Composite/Al Honeycomb",MAKE,SHT,890.0,30,5.3,15.2,A,81205,DWG-10140-A,,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10150,"NAS1149 Washer, Stainless 300 Series",MAKE,EA,0.45,7,33.9,97.0,A,0V8H7,DWG-10150-A,NAS1149,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10160,"Titanium Fastener Kit MS21250, 100pc",MAKE,EA,98.0,21,36.8,105.1,A,1LNK7,DWG-10160-A,MS21250,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10170,"Hydraulic Reservoir Fitting, Eaton 8-8 FJJX",MAKE,EA,19.8,14,4.1,11.8,A,81205,DWG-10170-A,,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10180,"Landing Gear Bracket 4340 Steel, Heat Treated",MAKE,EA,342.0,30,0.0,0.0,A,0V8H7,DWG-10180-A,,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10190,"Composite Fairing Panel, Glass/Epoxy 4-ply",MAKE,SHT,265.0,30,29.6,84.6,A,1LNK7,DWG-10190-A,,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10200,"Phenolic Insulation Block, MIL-I-24768, 2"" thick",MAKE,EA,55.0,21,14.4,41.2,A,81205,DWG-10200-A,MIL-I-24768,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
MCH-51001,"Longeron Splice, Fwd Fuselage",MAKE,EA,768.75,15,24.0,96.0,A,63656,DWG-MCH-51001,2024-T3,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
MCH-51002,"Torque Tube, Wing Station 42",MAKE,EA,770.34,9,7.0,137.0,B,84081,DWG-MCH-51002,304 SS,ENGINEERING,,1.0,1,2026-09-21 14:38:00,ASSEMBLY
MCH-51003,"Bulkhead Frame, Flap Track",MAKE,EA,945.77,13,18.0,164.0,C,50182,DWG-MCH-51003,AMS 4911,ENGINEERING,,1.0,1,2026-09-21 14:38:00,COMPOSITE
MCH-51004,"Hinge Fitting, Nacelle Assy",MAKE,EA,7.24,26,29.0,33.0,A,50643,DWG-MCH-51004,4130 Steel,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
MCH-51005,"Machined Rib, Empennage",MAKE,EA,141.99,21,36.0,152.0,A,57204,DWG-MCH-51005,7075-T7351,ENGINEERING,,1.0,1,2026-09-21 14:38:00,COMPOSITE
MCH-51006,"Spar Fitting, Center Wing Box",MAKE,EA,31.66,36,19.0,61.0,A,22605,DWG-MCH-51006,AMS 5510,ENGINEERING,,1.0,1,2026-09-21 14:38:00,COMPOSITE
MCH-51007,"Gusset Plate, Aft Pylon",MAKE,EA,605.81,38,38.0,146.0,B,24778,DWG-MCH-51007,AMS 5662,ENGINEERING,,1.0,1,2026-09-21 14:38:00,COMPOSITE
MCH-51008,"Actuator Bracket, MLG Bay",MAKE,EA,330.32,15,9.0,57.0,C,50503,DWG-MCH-51008,6061-T6,ENGINEERING,,1.0,1,2026-09-21 14:38:00,ASSEMBLY
MCH-51009,"Longeron Splice, Fwd Fuselage",MAKE,EA,848.91,42,40.0,176.0,A,77120,DWG-MCH-51009,2024-T3,ENGINEERING,,1.0,1,2026-09-21 14:38:00,COMPOSITE
MCH-51010,"Gusset Plate, Aft Pylon",MAKE,EA,290.93,11,38.0,242.0,C,80458,DWG-MCH-51010,AMS 5662,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
MCH-51011,"Spar Fitting, Center Wing Box",MAKE,EA,834.7,33,43.0,57.0,B,79533,DWG-MCH-51011,AMS 5510,ENGINEERING,,1.0,1,2026-09-21 14:38:00,ASSEMBLY
MCH-51012,"Machined Rib, Empennage",MAKE,EA,183.35,28,36.0,146.0,C,10180,DWG-MCH-51012,7075-T7351,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
MCH-51013,"Hinge Fitting, Nacelle Assy",MAKE,EA,287.64,35,5.0,213.0,A,13635,DWG-MCH-51013,4130 Steel,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
MCH-51014,"Bulkhead Frame, Flap Track",MAKE,EA,802.33,46,18.0,180.0,C,26742,DWG-MCH-51014,AMS 4911,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
MCH-51015,"Torque Tube, Wing Station 42",MAKE,EA,78.5,10,15.0,27.0,B,87985,DWG-MCH-51015,304 SS,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
MCH-51016,"Longeron Splice, Fwd Fuselage",MAKE,EA,595.47,26,24.0,238.0,B,86632,DWG-MCH-51016,2024-T3,ENGINEERING,,1.0,1,2026-09-21 14:38:00,ASSEMBLY
MCH-51017,"Actuator Bracket, MLG Bay",MAKE,EA,770.96,45,25.0,155.0,C,93407,DWG-MCH-51017,6061-T6,ENGINEERING,,1.0,1,2026-09-21 14:38:00,COMPOSITE
MCH-51018,"Gusset Plate, Aft Pylon",MAKE,EA,177.89,18,22.0,158.0,C,39538,DWG-MCH-51018,AMS 5662,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
MCH-51019,"Spar Fitting, Center Wing Box",MAKE,EA,819.82,37,35.0,121.0,C,87957,DWG-MCH-51019,AMS 5510,ENGINEERING,,1.0,1,2026-09-21 14:38:00,COMPOSITE
MCH-51020,"Machined Rib, Empennage",MAKE,EA,414.07,9,44.0,100.0,A,20292,DWG-MCH-51020,7075-T7351,ENGINEERING,,1.0,1,2026-09-21 14:38:00,ASSEMBLY
MCH-51021,"Hinge Fitting, Nacelle Assy",MAKE,EA,251.88,37,13.0,145.0,C,58771,DWG-MCH-51021,4130 Steel,ENGINEERING,,1.0,1,2026-09-21 14:38:00,ASSEMBLY
MCH-51022,"Gusset Plate, Aft Pylon",MAKE,EA,306.37,39,38.0,38.0,B,40714,DWG-MCH-51022,AMS 5662,ENGINEERING,,1.0,1,2026-09-21 14:38:00,COMPOSITE
MCH-51023,"Spar Fitting, Center Wing Box",MAKE,EA,850.38,32,35.0,33.0,B,68141,DWG-MCH-51023,AMS 5510,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
MCH-51024,"Longeron Splice, Fwd Fuselage",MAKE,EA,305.79,12,32.0,88.0,B,58696,DWG-MCH-51024,2024-T3,ENGINEERING,,1.0,1,2026-09-21 14:38:00,COMPOSITE
MCH-51025,"Actuator Bracket, MLG Bay",MAKE,EA,71.92,22,9.0,235.0,A,93935,DWG-MCH-51025,6061-T6,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
AVN-52001,"Duplex Bearing, MLG Bay",BUY,EA,439.28,16,9.0,77.0,B,96663,DWG-AVN-52001,,ENGINEERING,BUYER-9,1.0,1,2026-09-21 14:38:00,PURCHASED-COMPONENT
AVN-52002,"Wire Harness, Flap Track",BUY,EA,833.69,10,42.0,74.0,A,97598,DWG-AVN-52002,,ENGINEERING,BUYER-4,1.0,1,2026-09-21 14:38:00,ELECTRICAL
AVN-52003,"Static Seal, Wing Station 42",BUY,EA,168.34,25,23.0,225.0,C,24089,DWG-AVN-52003,,ENGINEERING,BUYER-1,1.0,1,2026-09-21 14:38:00,BEARING
AVN-52004,"Pressure Transducer, Empennage",BUY,EA,504.31,18,44.0,72.0,B,44396,DWG-AVN-52004,,ENGINEERING,BUYER-10,1.0,1,2026-09-21 14:38:00,SEAL
AVN-52005,"Position Sensor, Nacelle Assy",BUY,EA,93.0,28,37.0,93.0,B,76891,DWG-AVN-52005,,ENGINEERING,BUYER-9,1.0,1,2026-09-21 14:38:00,PURCHASED-COMPONENT
AVN-52006,"Relay Module, Aft Pylon",BUY,EA,190.37,43,22.0,118.0,C,91826,DWG-AVN-52006,,ENGINEERING,BUYER-2,1.0,1,2026-09-21 14:38:00,ELECTRICAL
AVN-52007,"Servo Valve, Center Wing Box",BUY,EA,873.9,29,27.0,117.0,C,54405,DWG-AVN-52007,,ENGINEERING,BUYER-3,1.0,1,2026-09-21 14:38:00,BEARING
AVN-52008,"Fuel Nozzle, Fwd Fuselage",BUY,EA,226.83,36,24.0,216.0,B,80808,DWG-AVN-52008,,ENGINEERING,BUYER-2,1.0,1,2026-09-21 14:38:00,SEAL
AVN-52009,"Duplex Bearing, MLG Bay",BUY,EA,362.0,44,25.0,225.0,A,83551,DWG-AVN-52009,,ENGINEERING,BUYER-5,1.0,1,2026-09-21 14:38:00,PURCHASED-COMPONENT
AVN-52010,"Servo Valve, Center Wing Box",BUY,EA,889.26,19,27.0,119.0,A,86245,DWG-AVN-52010,,ENGINEERING,BUYER-3,1.0,1,2026-09-21 14:38:00,BEARING
AVN-52011,"Relay Module, Aft Pylon",BUY,EA,571.89,29,30.0,56.0,B,43666,DWG-AVN-52011,,ENGINEERING,BUYER-8,1.0,1,2026-09-21 14:38:00,ELECTRICAL
AVN-52012,"Position Sensor, Nacelle Assy",BUY,EA,336.36,10,21.0,141.0,C,47131,DWG-AVN-52012,,ENGINEERING,BUYER-1,1.0,1,2026-09-21 14:38:00,PURCHASED-COMPONENT
AVN-52013,"Pressure Transducer, Empennage",BUY,EA,824.23,9,36.0,108.0,A,74476,DWG-AVN-52013,,ENGINEERING,BUYER-6,1.0,1,2026-09-21 14:38:00,SEAL
AVN-52014,"Static Seal, Wing Station 42",BUY,EA,733.7,15,7.0,47.0,C,19465,DWG-AVN-52014,,ENGINEERING,BUYER-7,1.0,1,2026-09-21 14:38:00,BEARING
AVN-52015,"Wire Harness, Flap Track",BUY,EA,98.89,26,18.0,32.0,B,39070,DWG-AVN-52015,,ENGINEERING,BUYER-8,1.0,1,2026-09-21 14:38:00,ELECTRICAL
AVN-52016,"Duplex Bearing, MLG Bay",BUY,EA,841.44,32,9.0,113.0,A,89047,DWG-AVN-52016,,ENGINEERING,BUYER-5,1.0,1,2026-09-21 14:38:00,PURCHASED-COMPONENT
AVN-52017,"Fuel Nozzle, Fwd Fuselage",BUY,EA,450.35,27,40.0,140.0,A,29696,DWG-AVN-52017,,ENGINEERING,BUYER-8,1.0,1,2026-09-21 14:38:00,SEAL
AVN-52018,"Servo Valve, Center Wing Box",BUY,EA,55.82,46,11.0,43.0,A,37453,DWG-AVN-52018,,ENGINEERING,BUYER-1,1.0,1,2026-09-21 14:38:00,BEARING
AVN-52019,"Relay Module, Aft Pylon",BUY,EA,588.37,38,38.0,92.0,B,35466,DWG-AVN-52019,,ENGINEERING,BUYER-10,1.0,1,2026-09-21 14:38:00,ELECTRICAL
AVN-52020,"Position Sensor, Nacelle Assy",BUY,EA,843.72,14,29.0,87.0,C,88299,DWG-AVN-52020,,ENGINEERING,BUYER-7,1.0,1,2026-09-21 14:38:00,PURCHASED-COMPONENT
AVN-52021,"Pressure Transducer, Empennage",BUY,EA,790.95,22,28.0,50.0,C,87180,DWG-AVN-52021,,ENGINEERING,BUYER-2,1.0,1,2026-09-21 14:38:00,SEAL
AVN-52022,"Servo Valve, Center Wing Box",BUY,EA,100.54,30,27.0,25.0,B,28405,DWG-AVN-52022,,ENGINEERING,BUYER-3,1.0,1,2026-09-21 14:38:00,BEARING
AVN-52023,"Relay Module, Aft Pylon",BUY,EA,98.53,34,14.0,152.0,A,81762,DWG-AVN-52023,,ENGINEERING,BUYER-6,1.0,1,2026-09-21 14:38:00,ELECTRICAL
AVN-52024,"Duplex Bearing, MLG Bay",BUY,EA,106.96,14,33.0,197.0,A,84311,DWG-AVN-52024,,ENGINEERING,BUYER-7,1.0,1,2026-09-21 14:38:00,PURCHASED-COMPONENT
AVN-52025,"Fuel Nozzle, Fwd Fuselage",BUY,EA,932.35,31,24.0,246.0,C,79936,DWG-AVN-52025,,ENGINEERING,BUYER-4,1.0,1,2026-09-21 14:38:00,SEAL
AVN-52026,"Static Seal, Wing Station 42",BUY,EA,214.5,36,39.0,63.0,B,64585,DWG-AVN-52026,,ENGINEERING,BUYER-7,1.0,1,2026-09-21 14:38:00,BEARING
AVN-52027,"Wire Harness, Flap Track",BUY,EA,529.45,33,18.0,94.0,C,55838,DWG-AVN-52027,,ENGINEERING,BUYER-2,1.0,1,2026-09-21 14:38:00,ELECTRICAL
AVN-52028,"Position Sensor, Nacelle Assy",BUY,EA,131.24,26,21.0,99.0,B,21443,DWG-AVN-52028,,ENGINEERING,BUYER-5,1.0,1,2026-09-21 14:38:00,PURCHASED-COMPONENT
AVN-52029,"Pressure Transducer, Empennage",BUY,EA,929.67,15,36.0,76.0,C,61044,DWG-AVN-52029,,ENGINEERING,BUYER-2,1.0,1,2026-09-21 14:38:00,SEAL
AVN-52030,"Wire Harness, Flap Track",BUY,EA,372.41,49,10.0,160.0,C,77758,DWG-AVN-52030,,ENGINEERING,BUYER-8,1.0,1,2026-09-21 14:38:00,ELECTRICAL
AVN-52031,"Static Seal, Wing Station 42",BUY,EA,718.26,44,23.0,61.0,A,72041,DWG-AVN-52031,,ENGINEERING,BUYER-3,1.0,1,2026-09-21 14:38:00,BEARING
AVN-52032,"Fuel Nozzle, Fwd Fuselage",BUY,EA,347.95,35,24.0,128.0,A,15792,DWG-AVN-52032,,ENGINEERING,BUYER-6,1.0,1,2026-09-21 14:38:00,SEAL
AVN-52033,"Duplex Bearing, MLG Bay",BUY,EA,254.48,31,17.0,71.0,B,14471,DWG-AVN-52033,,ENGINEERING,BUYER-9,1.0,1,2026-09-21 14:38:00,PURCHASED-COMPONENT
AVN-52034,"Relay Module, Aft Pylon",BUY,EA,714.93,19,38.0,114.0,C,58850,DWG-AVN-52034,,ENGINEERING,BUYER-4,1.0,1,2026-09-21 14:38:00,ELECTRICAL
AVN-52035,"Servo Valve, Center Wing Box",BUY,EA,661.42,37,27.0,119.0,C,17125,DWG-AVN-52035,,ENGINEERING,BUYER-3,1.0,1,2026-09-21 14:38:00,BEARING
HDW-53001,"Cotter Pin, Fwd Fuselage",HARDWARE,EA,739.07,44,8.0,114.0,C,67688,DWG-HDW-53001,,ENGINEERING,BUYER-4,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53002,"Washer, Wing Station 42",HARDWARE,EA,705.62,23,23.0,27.0,A,33473,DWG-HDW-53002,,ENGINEERING,BUYER-7,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53003,"Self-Locking Nut, Flap Track",HARDWARE,EA,897.69,8,42.0,144.0,A,12438,DWG-HDW-53003,,ENGINEERING,BUYER-2,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53004,"Retaining Ring, Nacelle Assy",HARDWARE,EA,711.72,39,21.0,167.0,A,89411,DWG-HDW-53004,,ENGINEERING,BUYER-3,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53005,"Hi-Lok Pin, Empennage",HARDWARE,EA,781.83,16,20.0,44.0,B,10580,DWG-HDW-53005,,ENGINEERING,BUYER-8,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53006,"Blind Rivet, Center Wing Box",HARDWARE,EA,357.02,7,19.0,149.0,B,60669,DWG-HDW-53006,,ENGINEERING,BUYER-9,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53007,"Clevis Pin, Aft Pylon",HARDWARE,EA,477.89,23,6.0,190.0,B,36314,DWG-HDW-53007,,ENGINEERING,BUYER-2,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53008,"Shear Bolt, MLG Bay",HARDWARE,EA,878.32,41,25.0,73.0,A,72983,DWG-HDW-53008,,ENGINEERING,BUYER-3,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53009,"Cotter Pin, Fwd Fuselage",HARDWARE,EA,532.67,49,8.0,60.0,A,96976,DWG-HDW-53009,,ENGINEERING,BUYER-8,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53010,"Clevis Pin, Aft Pylon",HARDWARE,EA,718.85,15,6.0,84.0,B,72778,DWG-HDW-53010,,ENGINEERING,BUYER-8,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53011,"Blind Rivet, Center Wing Box",HARDWARE,EA,870.14,23,27.0,173.0,B,51533,DWG-HDW-53011,,ENGINEERING,BUYER-9,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53012,"Hi-Lok Pin, Empennage",HARDWARE,EA,204.23,30,20.0,148.0,B,19588,DWG-HDW-53012,,ENGINEERING,BUYER-8,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53013,"Retaining Ring, Nacelle Assy",HARDWARE,EA,304.68,34,29.0,65.0,C,33859,DWG-HDW-53013,,ENGINEERING,BUYER-9,1.0,1,2026-09-21 14:38:00,HARDWARE
HDW-53014,"Self-Locking Nut, Flap Track",HARDWARE,EA,570.89,46,26.0,102.0,B,62678,DWG-HDW-53014,,ENGINEERING,BUYER-8,1.0,1,2026-09-21 14:38:00,HARDWARE
