event_id,job_id,event_type,amount,event_date,source_table,source_id
140,WO-JUL-10,BURDEN,141.55,2026-07-09 09:29:24,labor_ticket,46
141,WO-JUL-11,LABOR,287.5,2026-07-10 09:33:00,labor_ticket,47
142,WO-JUL-11,BURDEN,147.25,2026-07-10 09:33:00,labor_ticket,47
143,WO-JUL-12,LABOR,300.0,2026-07-11 09:37:12,labor_ticket,48
144,WO-JUL-12,BURDEN,153.9,2026-07-11 09:37:12,labor_ticket,48
145,WO-JUL-13,LABOR,312.5,2026-07-12 09:41:24,labor_ticket,49
146,WO-JUL-13,BURDEN,160.55,2026-07-12 09:41:24,labor_ticket,49
147,WO-JUL-14,LABOR,325.0,2026-07-13 09:45:36,labor_ticket,50
148,WO-JUL-14,BURDEN,167.2,2026-07-13 09:45:36,labor_ticket,50
149,WO-JUL-15,LABOR,337.5,2026-07-14 09:49:12,labor_ticket,51
150,WO-JUL-15,BURDEN,172.9,2026-07-14 09:49:12,labor_ticket,51
151,WO-JUL-16,LABOR,350.0,2026-07-15 09:53:24,labor_ticket,52
152,WO-JUL-16,BURDEN,179.55,2026-07-15 09:53:24,labor_ticket,52
153,WO-JUL-17,LABOR,362.5,2026-07-16 09:57:36,labor_ticket,53
154,WO-JUL-17,BURDEN,186.2,2026-07-16 09:57:36,labor_ticket,53
155,WO-JUL-18,LABOR,375.0,2026-07-17 10:01:48,labor_ticket,54
156,WO-JUL-18,BURDEN,192.85,2026-07-17 10:01:48,labor_ticket,54
157,WO-JUL-19,LABOR,387.5,2026-07-18 10:05:24,labor_ticket,55
158,WO-JUL-19,BURDEN,198.55,2026-07-18 10:05:24,labor_ticket,55
159,WO-JUL-20,LABOR,400.0,2026-07-19 10:09:36,labor_ticket,56
160,WO-JUL-20,BURDEN,205.2,2026-07-19 10:09:36,labor_ticket,56
161,WO-JUL-21,LABOR,412.5,2026-07-20 10:13:48,labor_ticket,57
162,WO-JUL-21,BURDEN,211.85,2026-07-20 10:13:48,labor_ticket,57
163,WO-JUL-22,LABOR,425.0,2026-07-21 10:18:00,labor_ticket,58
164,WO-JUL-22,BURDEN,218.5,2026-07-21 10:18:00,labor_ticket,58
165,WO-JUL-23,LABOR,437.5,2026-07-22 10:21:36,labor_ticket,59
166,WO-JUL-23,BURDEN,224.2,2026-07-22 10:21:36,labor_ticket,59
167,WO-JUL-24,LABOR,450.0,2026-07-23 10:25:48,labor_ticket,60
168,WO-JUL-24,BURDEN,230.85,2026-07-23 10:25:48,labor_ticket,60
169,WO-JUL-25,LABOR,462.5,2026-07-24 10:30:00,labor_ticket,61
170,WO-JUL-25,BURDEN,237.5,2026-07-24 10:30:00,labor_ticket,61
171,WO-JUL-26,LABOR,475.0,2026-07-25 10:34:12,labor_ticket,62
172,WO-JUL-26,BURDEN,244.15,2026-07-25 10:34:12,labor_ticket,62
173,WO-JUL-27,LABOR,487.5,2026-07-26 10:38:24,labor_ticket,63
174,WO-JUL-27,BURDEN,250.8,2026-07-26 10:38:24,labor_ticket,63
175,WO-JUL-28,LABOR,500.0,2026-07-27 10:42:00,labor_ticket,64
176,WO-JUL-28,BURDEN,256.5,2026-07-27 10:42:00,labor_ticket,64
177,WO-JUL-29,LABOR,512.5,2026-07-28 10:46:12,labor_ticket,65
178,WO-JUL-29,BURDEN,263.15,2026-07-28 10:46:12,labor_ticket,65
179,WO-JUL-30,LABOR,525.0,2026-07-29 10:50:24,labor_ticket,66
180,WO-JUL-30,BURDEN,269.8,2026-07-29 10:50:24,labor_ticket,66
181,WO-JUL-31,LABOR,537.5,2026-07-30 10:54:36,labor_ticket,67
182,WO-JUL-31,BURDEN,276.45,2026-07-30 10:54:36,labor_ticket,67
183,WO-00001,FG_COMPLETION,235.44,2025-07-19,work_order,WO-00001
184,WO-00003,FG_COMPLETION,208.35,2026-01-16,work_order,WO-00003
185,WO-00004,FG_COMPLETION,550.47,2025-04-29,work_order,WO-00004
186,WO-00005,FG_COMPLETION,173.21,2026-01-21,work_order,WO-00005
187,WO-00006,FG_COMPLETION,364.04,2024-04-13,work_order,WO-00006
188,WO-00007,FG_COMPLETION,279.08,2026-01-14,work_order,WO-00007
189,WO-00008,FG_COMPLETION,16.22,2026-01-19,work_order,WO-00008
190,WO-00009,FG_COMPLETION,363.27,2026-01-21,work_order,WO-00009
191,WO-00010,FG_COMPLETION,523.2,2026-01-21,work_order,WO-00010
192,WO-00011,FG_COMPLETION,362.52,2025-04-28,work_order,WO-00011
193,WO-00013,FG_COMPLETION,307.23,2025-04-19,work_order,WO-00013
194,WO-00014,FG_COMPLETION,77.71,2025-04-01,work_order,WO-00014
195,WO-00015,FG_COMPLETION,755.05,2026-01-20,work_order,WO-00015
196,WO-JUL-01,FG_COMPLETION,3096.78,2026-07-01,work_order,WO-JUL-01
197,WO-JUL-02,FG_COMPLETION,3297.75,2026-07-02,work_order,WO-JUL-02
198,WO-JUL-03,FG_COMPLETION,599.35,2026-07-03,work_order,WO-JUL-03
199,WO-JUL-04,FG_COMPLETION,2934.56,2026-07-04,work_order,WO-JUL-04
200,WO-JUL-05,FG_COMPLETION,924.59,2026-07-05,work_order,WO-JUL-05
201,WO-JUL-06,FG_COMPLETION,1656.8,2026-07-06,work_order,WO-JUL-06
202,WO-JUL-07,FG_COMPLETION,2409.48,2026-07-07,work_order,WO-JUL-07
203,WO-JUL-08,FG_COMPLETION,2032.81,2026-07-08,work_order,WO-JUL-08
204,WO-JUL-09,FG_COMPLETION,2811.92,2026-07-09,work_order,WO-JUL-09
205,WO-JUL-10,FG_COMPLETION,1085.6,2026-07-10,work_order,WO-JUL-10
206,WO-JUL-11,FG_COMPLETION,1526.63,2026-07-11,work_order,WO-JUL-11
207,WO-JUL-12,FG_COMPLETION,2455.95,2026-07-12,work_order,WO-JUL-12
208,WO-JUL-13,FG_COMPLETION,3914.17,2026-07-13,work_order,WO-JUL-13
209,WO-JUL-14,FG_COMPLETION,1754.25,2026-07-14,work_order,WO-JUL-14
210,WO-JUL-15,FG_COMPLETION,4706.2,2026-07-15,work_order,WO-JUL-15
211,WO-JUL-16,FG_COMPLETION,2667.56,2026-07-16,work_order,WO-JUL-16
212,WO-JUL-17,FG_COMPLETION,2974.7,2026-07-17,work_order,WO-JUL-17
213,WO-JUL-18,FG_COMPLETION,831.1,2026-07-18,work_order,WO-JUL-18
214,WO-JUL-19,FG_COMPLETION,5849.97,2026-07-19,work_order,WO-JUL-19
215,WO-JUL-20,FG_COMPLETION,1057.33,2026-07-20,work_order,WO-JUL-20
216,WO-JUL-21,FG_COMPLETION,1677.07,2026-07-21,work_order,WO-JUL-21
217,WO-JUL-22,FG_COMPLETION,2352.15,2026-07-22,work_order,WO-JUL-22
218,WO-JUL-23,FG_COMPLETION,3970.82,2026-07-23,work_order,WO-JUL-23
219,WO-JUL-24,FG_COMPLETION,2491.74,2026-07-24,work_order,WO-JUL-24
220,WO-JUL-25,FG_COMPLETION,1235.24,2026-07-25,work_order,WO-JUL-25
221,WO-JUL-26,FG_COMPLETION,1629.05,2026-07-26,work_order,WO-JUL-26
222,WO-JUL-27,FG_COMPLETION,4742.4,2026-07-27,work_order,WO-JUL-27
223,WO-JUL-28,FG_COMPLETION,3337.34,2026-07-28,work_order,WO-JUL-28
224,WO-JUL-29,FG_COMPLETION,1785.29,2026-07-29,work_order,WO-JUL-29
225,WO-JUL-30,FG_COMPLETION,4291.3,2026-07-30,work_order,WO-JUL-30
226,WO-JUL-31,FG_COMPLETION,5089.97,2026-07-31,work_order,WO-JUL-31
227,WO-00003,CUSTOMER_SHIPMENT,208.35,2026-07-23,customer_order_line,193:WO-00003
228,WO-00010,CUSTOMER_SHIPMENT,523.2,2026-07-23,customer_order_line,193:WO-00010
229,WO-00014,CUSTOMER_SHIPMENT,77.71,2026-07-23,customer_order_line,193:WO-00014
230,WO-00015,CUSTOMER_SHIPMENT,755.05,2026-07-23,customer_order_line,193:WO-00015
231,AR-CO-00001,CASH_RECEIPT,17974.11,2026-07-07,receivable_payment,1
232,AR-CO-00001,CASH_RECEIPT,17974.11,2026-07-14,receivable_payment,2
233,AR-CO-00001,CASH_RECEIPT,17974.13,2026-07-21,receivable_payment,3
234,AR-CO-00004,CASH_RECEIPT,2696.78,2026-07-07,receivable_payment,4
235,AR-CO-00004,CASH_RECEIPT,2696.78,2026-07-14,receivable_payment,5
236,AR-CO-00004,CASH_RECEIPT,2696.78,2026-07-21,receivable_payment,6
237,AR-CO-00006,CASH_RECEIPT,17037.24,2026-07-07,receivable_payment,7
238,AR-CO-00006,CASH_RECEIPT,17037.24,2026-07-14,receivable_payment,8
239,AR-CO-00006,CASH_RECEIPT,17037.24,2026-07-21,receivable_payment,9
240,AR-CO-00009,CASH_RECEIPT,13650.81,2026-07-07,receivable_payment,10
241,AR-CO-00009,CASH_RECEIPT,13650.81,2026-07-14,receivable_payment,11
242,AR-CO-00009,CASH_RECEIPT,13650.83,2026-07-21,receivable_payment,12
243,AR-CO-00014,CASH_RECEIPT,1653.75,2026-07-07,receivable_payment,13
244,AR-CO-00014,CASH_RECEIPT,1653.75,2026-07-14,receivable_payment,14
245,AR-CO-00014,CASH_RECEIPT,1653.77,2026-07-21,receivable_payment,15
