ordinal,_key,_id,node_type,node_family,perspective,table_name,column_name,column_slot,concept_name,concept_type,domain,synonyms,tags,computation_template,binding_key,concept_anchor,logic_type,predicate,unique_id,description,column_type,notnull,default_value,primary_key,foreign_key
12,labor_ticket:entity:structural:system:none:none,manufacturing_graph_node/labor_ticket:entity:structural:system:none:none,table,structural,system,labor_ticket,,entity,,,,,,,,,,none,none,"Labor time postings against work order operations (clock-in/out, hours, cost)",,,,,
13,material_issue:entity:structural:system:none:none,manufacturing_graph_node/material_issue:entity:structural:system:none:none,table,structural,system,material_issue,,entity,,,,,,,,,,none,none,"Raw material issues from stock to WIP work orders (quantity, unit cost, total cost)",,,,,
14,operation:entity:structural:system:none:none,manufacturing_graph_node/operation:entity:structural:system:none:none,table,structural,system,operation,,entity,,,,,,,,,,none,none,"Work order routing steps — sequence, resource, estimated vs actual hours and costs",,,,,
15,part:entity:structural:system:none:none,manufacturing_graph_node/part:entity:structural:system:none:none,table,structural,system,part,,entity,,,,,,,,,,none,none,"Part / item master — description, class, UOM, cost, revision, material spec, CAGE code",,,,,
16,part_location:entity:structural:system:none:none,manufacturing_graph_node/part_location:entity:structural:system:none:none,table,structural,system,part_location,,entity,,,,,,,,,,none,none,On-hand quantity of a part at a warehouse location — physical inventory snapshot for reconciliation,,,,,
17,payable_line:entity:structural:system:none:none,manufacturing_graph_node/payable_line:entity:structural:system:none:none,table,structural,system,payable_line,,entity,,,,,,,,,,none,none,"AP payable line detail extending payables — part, PO, quantity, amount",,,,,
18,payables:entity:structural:system:none:none,manufacturing_graph_node/payables:entity:structural:system:none:none,table,structural,system,payables,,entity,,,,,,,,,,none,none,Accounts-payable headers (acts as the invoice header) linked to purchase orders — three-way match and payment status,,,,,
19,po_line:entity:structural:system:none:none,manufacturing_graph_node/po_line:entity:structural:system:none:none,table,structural,system,po_line,,entity,,,,,,,,,,none,none,"Purchase order line items (part, quantity, unit cost, line total)",,,,,
20,purchase_order:entity:structural:system:none:none,manufacturing_graph_node/purchase_order:entity:structural:system:none:none,table,structural,system,purchase_order,,entity,,,,,,,,,,none,none,Purchase order headers for material and outside-service buys,,,,,
21,receivable:entity:structural:system:none:none,manufacturing_graph_node/receivable:entity:structural:system:none:none,table,structural,system,receivable,,entity,,,,,,,,,,none,none,Accounts-receivable headers (customer invoice header) linked to customer orders — billing and payment status,,,,,
22,receivable_line:entity:structural:system:none:none,manufacturing_graph_node/receivable_line:entity:structural:system:none:none,table,structural,system,receivable_line,,entity,,,,,,,,,,none,none,"AR receivable line detail extending receivable — part, order line, quantity, amount",,,,,
23,receivable_payment:entity:structural:system:none:none,manufacturing_graph_node/receivable_payment:entity:structural:system:none:none,table,structural,system,receivable_payment,,entity,,,,,,,,,,none,none,"AR installment payment records — one row per installment per invoice, linked to the cash-receipt GL event",,,,,
24,receiving:entity:structural:system:none:none,manufacturing_graph_node/receiving:entity:structural:system:none:none,table,structural,system,receiving,,entity,,,,,,,,,,none,none,"Goods receipts against purchase orders — quantity ordered vs received, inspection status",,,,,
25,receiving_line:entity:structural:system:none:none,manufacturing_graph_node/receiving_line:entity:structural:system:none:none,table,structural,system,receiving_line,,entity,,,,,,,,,,none,none,"Line items on a goods receipt — one row per part received, linked to the PO line for line-level three-way match",,,,,
26,requirement:entity:structural:system:none:none,manufacturing_graph_node/requirement:entity:structural:system:none:none,table,structural,system,requirement,,entity,,,,,,,,,,none,none,"Resource requirements (labor / material / burden) per routing operation; component_type PART = as-designed routing standard (engineering, per-unit) vs WORK_ORDER = as-built actuals (manufacturing, batch)",,,,,
27,service:entity:structural:system:none:none,manufacturing_graph_node/service:entity:structural:system:none:none,table,structural,system,service,,entity,,,,,,,,,,none,none,"Outside service definitions (anodize, heat treat, NDT, plating, painting)",,,,,
28,shop_resource:entity:structural:system:none:none,manufacturing_graph_node/shop_resource:entity:structural:system:none:none,table,structural,system,shop_resource,,entity,,,,,,,,,,none,none,"Shop work centers and outside-service buckets (machine, labor, service types)",,,,,
29,site:entity:structural:system:none:none,manufacturing_graph_node/site:entity:structural:system:none:none,table,structural,system,site,,entity,,,,,,,,,,none,none,"Site dimension — physical plant / location anchoring inventory, orders, and work orders",,,,,
30,suppliers:entity:structural:system:none:none,manufacturing_graph_node/suppliers:entity:structural:system:none:none,table,structural,system,suppliers,,entity,,,,,,,,,,none,none,"Supplier master — name, category, certification level, payment terms, lead time",,,,,
31,trace:entity:structural:system:none:none,manufacturing_graph_node/trace:entity:structural:system:none:none,table,structural,system,trace,,entity,,,,,,,,,,none,none,"Traced lot / serial record of a part — production and expiration dates, quantities",,,,,
32,trace_inventory_trace:entity:structural:system:none:none,manufacturing_graph_node/trace_inventory_trace:entity:structural:system:none:none,table,structural,system,trace_inventory_trace,,entity,,,,,,,,,,none,none,Bridge linking a trace lot to an inventory transaction (qty-weighted) for genealogy,,,,,
33,warehouse:entity:structural:system:none:none,manufacturing_graph_node/warehouse:entity:structural:system:none:none,table,structural,system,warehouse,,entity,,,,,,,,,,none,none,Physical stocking location (warehouse) belonging to a site — anchors part on-hand,,,,,
34,work_order:entity:structural:system:none:none,manufacturing_graph_node/work_order:entity:structural:system:none:none,table,structural,system,work_order,,entity,,,,,,,,,,none,none,"Work order master — part, quantity, status, routing template, accumulated actual costs",,,,,
35,EMPLOYEE:employee_id:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:employee_id:structural:system:none:none,column,structural,system,EMPLOYEE,employee_id,,,,,,,,,,,none,none,,TEXT,0,,1,0
36,EMPLOYEE:employee_name:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:employee_name:structural:system:none:none,column,structural,system,EMPLOYEE,employee_name,,,,,,,,,,,none,none,,TEXT,1,,0,0
37,EMPLOYEE:job_title:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:job_title:structural:system:none:none,column,structural,system,EMPLOYEE,job_title,,,,,,,,,,,none,none,,TEXT,1,,0,0
38,EMPLOYEE:department:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:department:structural:system:none:none,column,structural,system,EMPLOYEE,department,,,,,,,,,,,none,none,,TEXT,1,,0,0
39,EMPLOYEE:hourly_rate:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:hourly_rate:structural:system:none:none,column,structural,system,EMPLOYEE,hourly_rate,,,,,,,,,,,none,none,,REAL,1,0.0,0,0
40,EMPLOYEE:buyer_code:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:buyer_code:structural:system:none:none,column,structural,system,EMPLOYEE,buyer_code,,,,,,,,,,,none,none,,TEXT,0,,0,0
41,EMPLOYEE:home_resource_id:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:home_resource_id:structural:system:none:none,column,structural,system,EMPLOYEE,home_resource_id,,,,,,,,,,,none,none,,TEXT,0,,0,0
42,EMPLOYEE:hire_date:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:hire_date:structural:system:none:none,column,structural,system,EMPLOYEE,hire_date,,,,,,,,,,,none,none,,DATE,0,,0,0
43,EMPLOYEE:active:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:active:structural:system:none:none,column,structural,system,EMPLOYEE,active,,,,,,,,,,,none,none,,INTEGER,0,1,0,0
44,EMPLOYEE:created_at:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:created_at:structural:system:none:none,column,structural,system,EMPLOYEE,created_at,,,,,,,,,,,none,none,,DATETIME,0,CURRENT_TIMESTAMP,0,0
45,certification:cert_id:structural:system:none:none,manufacturing_graph_node/certification:cert_id:structural:system:none:none,column,structural,system,certification,cert_id,,,,,,,,,,,none,none,,INTEGER,0,,1,0
46,certification:receipt_id:structural:system:none:none,manufacturing_graph_node/certification:receipt_id:structural:system:none:none,column,structural,system,certification,receipt_id,,,,,,,,,,,none,none,,INTEGER,0,,0,1
47,certification:part_id:structural:system:none:none,manufacturing_graph_node/certification:part_id:structural:system:none:none,column,structural,system,certification,part_id,,,,,,,,,,,none,none,,TEXT,1,,0,1
48,certification:supplier_id:structural:system:none:none,manufacturing_graph_node/certification:supplier_id:structural:system:none:none,column,structural,system,certification,supplier_id,,,,,,,,,,,none,none,,TEXT,1,,0,0
49,certification:cert_type:structural:system:none:none,manufacturing_graph_node/certification:cert_type:structural:system:none:none,column,structural,system,certification,cert_type,,,,,,,,,,,none,none,,TEXT,1,,0,0
50,certification:issued_date:structural:system:none:none,manufacturing_graph_node/certification:issued_date:structural:system:none:none,column,structural,system,certification,issued_date,,,,,,,,,,,none,none,,DATE,1,,0,0
51,certification:expiry_date:structural:system:none:none,manufacturing_graph_node/certification:expiry_date:structural:system:none:none,column,structural,system,certification,expiry_date,,,,,,,,,,,none,none,,DATE,0,,0,0
52,certification:status:structural:system:none:none,manufacturing_graph_node/certification:status:structural:system:none:none,column,structural,system,certification,status,,,,,,,,,,,none,none,,TEXT,0,'Active',0,0
53,certification:created_at:structural:system:none:none,manufacturing_graph_node/certification:created_at:structural:system:none:none,column,structural,system,certification,created_at,,,,,,,,,,,none,none,,DATETIME,0,CURRENT_TIMESTAMP,0,0
54,customer_order:order_id:structural:system:none:none,manufacturing_graph_node/customer_order:order_id:structural:system:none:none,column,structural,system,customer_order,order_id,,,,,,,,,,,none,none,,TEXT,0,,1,0
55,customer_order:customer_name:structural:system:none:none,manufacturing_graph_node/customer_order:customer_name:structural:system:none:none,column,structural,system,customer_order,customer_name,,,,,,,,,,,none,none,,TEXT,1,,0,0
56,customer_order:order_date:structural:system:none:none,manufacturing_graph_node/customer_order:order_date:structural:system:none:none,column,structural,system,customer_order,order_date,,,,,,,,,,,none,none,,DATE,1,,0,0
57,customer_order:site_id:structural:system:none:none,manufacturing_graph_node/customer_order:site_id:structural:system:none:none,column,structural,system,customer_order,site_id,,,,,,,,,,,none,none,,TEXT,0,,0,1
58,customer_order:status:structural:system:none:none,manufacturing_graph_node/customer_order:status:structural:system:none:none,column,structural,system,customer_order,status,,,,,,,,,,,none,none,,TEXT,0,'Open',0,0
59,customer_order:created_at:structural:system:none:none,manufacturing_graph_node/customer_order:created_at:structural:system:none:none,column,structural,system,customer_order,created_at,,,,,,,,,,,none,none,,DATETIME,0,CURRENT_TIMESTAMP,0,0
60,customer_order:completed_date:structural:system:none:none,manufacturing_graph_node/customer_order:completed_date:structural:system:none:none,column,structural,system,customer_order,completed_date,,,,,,,,,,,none,none,,DATE,0,,0,0
61,customer_order_line:order_line_id:structural:system:none:none,manufacturing_graph_node/customer_order_line:order_line_id:structural:system:none:none,column,structural,system,customer_order_line,order_line_id,,,,,,,,,,,none,none,,INTEGER,0,,1,0
62,customer_order_line:order_id:structural:system:none:none,manufacturing_graph_node/customer_order_line:order_id:structural:system:none:none,column,structural,system,customer_order_line,order_id,,,,,,,,,,,none,none,,TEXT,1,,0,1
63,customer_order_line:line_no:structural:system:none:none,manufacturing_graph_node/customer_order_line:line_no:structural:system:none:none,column,structural,system,customer_order_line,line_no,,,,,,,,,,,none,none,,INTEGER,1,,0,0
64,customer_order_line:part_id:structural:system:none:none,manufacturing_graph_node/customer_order_line:part_id:structural:system:none:none,column,structural,system,customer_order_line,part_id,,,,,,,,,,,none,none,,TEXT,1,,0,1
65,customer_order_line:site_id:structural:system:none:none,manufacturing_graph_node/customer_order_line:site_id:structural:system:none:none,column,structural,system,customer_order_line,site_id,,,,,,,,,,,none,none,,TEXT,0,,0,1
66,customer_order_line:order_qty:structural:system:none:none,manufacturing_graph_node/customer_order_line:order_qty:structural:system:none:none,column,structural,system,customer_order_line,order_qty,,,,,,,,,,,none,none,,REAL,1,,0,0
67,customer_order_line:unit_price:structural:system:none:none,manufacturing_graph_node/customer_order_line:unit_price:structural:system:none:none,column,structural,system,customer_order_line,unit_price,,,,,,,,,,,none,none,,REAL,0,0,0,0
68,customer_order_line:need_by_date:structural:system:none:none,manufacturing_graph_node/customer_order_line:need_by_date:structural:system:none:none,column,structural,system,customer_order_line,need_by_date,,,,,,,,,,,none,none,,DATE,0,,0,0
69,customer_order_line:desired_release_date:structural:system:none:none,manufacturing_graph_node/customer_order_line:desired_release_date:structural:system:none:none,column,structural,system,customer_order_line,desired_release_date,,,,,,,,,,,none,none,,DATE,0,,0,0
70,customer_order_line:created_at:structural:system:none:none,manufacturing_graph_node/customer_order_line:created_at:structural:system:none:none,column,structural,system,customer_order_line,created_at,,,,,,,,,,,none,none,,DATETIME,0,CURRENT_TIMESTAMP,0,0
71,customer_order_line:shipped_qty:structural:system:none:none,manufacturing_graph_node/customer_order_line:shipped_qty:structural:system:none:none,column,structural,system,customer_order_line,shipped_qty,,,,,,,,,,,none,none,,REAL,0,0,0,0
72,customer_order_line:shipped_date:structural:system:none:none,manufacturing_graph_node/customer_order_line:shipped_date:structural:system:none:none,column,structural,system,customer_order_line,shipped_date,,,,,,,,,,,none,none,,DATE,0,,0,0
73,gl_events:event_id:structural:system:none:none,manufacturing_graph_node/gl_events:event_id:structural:system:none:none,column,structural,system,gl_events,event_id,,,,,,,,,,,none,none,,INTEGER,0,,1,0
74,gl_events:job_id:structural:system:none:none,manufacturing_graph_node/gl_events:job_id:structural:system:none:none,column,structural,system,gl_events,job_id,,,,,,,,,,,none,none,,TEXT,0,,0,1
75,gl_events:event_type:structural:system:none:none,manufacturing_graph_node/gl_events:event_type:structural:system:none:none,column,structural,system,gl_events,event_type,,,,,,,,,,,none,none,,TEXT,1,,0,0
76,gl_events:amount:structural:system:none:none,manufacturing_graph_node/gl_events:amount:structural:system:none:none,column,structural,system,gl_events,amount,,,,,,,,,,,none,none,,REAL,1,0.0,0,0
77,gl_events:event_date:structural:system:none:none,manufacturing_graph_node/gl_events:event_date:structural:system:none:none,column,structural,system,gl_events,event_date,,,,,,,,,,,none,none,,DATETIME,1,,0,0
78,gl_events:source_table:structural:system:none:none,manufacturing_graph_node/gl_events:source_table:structural:system:none:none,column,structural,system,gl_events,source_table,,,,,,,,,,,none,none,,TEXT,0,,0,0
79,gl_events:source_id:structural:system:none:none,manufacturing_graph_node/gl_events:source_id:structural:system:none:none,column,structural,system,gl_events,source_id,,,,,,,,,,,none,none,,TEXT,0,,0,0
80,gl_finished_goods_inventory:line_id:structural:system:none:none,manufacturing_graph_node/gl_finished_goods_inventory:line_id:structural:system:none:none,column,structural,system,gl_finished_goods_inventory,line_id,,,,,,,,,,,none,none,,INTEGER,0,,1,0
81,gl_finished_goods_inventory:event_id:structural:system:none:none,manufacturing_graph_node/gl_finished_goods_inventory:event_id:structural:system:none:none,column,structural,system,gl_finished_goods_inventory,event_id,,,,,,,,,,,none,none,,INTEGER,0,,0,1
82,gl_finished_goods_inventory:job_id:structural:system:none:none,manufacturing_graph_node/gl_finished_goods_inventory:job_id:structural:system:none:none,column,structural,system,gl_finished_goods_inventory,job_id,,,,,,,,,,,none,none,,TEXT,0,,0,1
83,gl_finished_goods_inventory:part_id:structural:system:none:none,manufacturing_graph_node/gl_finished_goods_inventory:part_id:structural:system:none:none,column,structural,system,gl_finished_goods_inventory,part_id,,,,,,,,,,,none,none,,TEXT,0,,0,1
84,gl_finished_goods_inventory:amount:structural:system:none:none,manufacturing_graph_node/gl_finished_goods_inventory:amount:structural:system:none:none,column,structural,system,gl_finished_goods_inventory,amount,,,,,,,,,,,none,none,,REAL,1,0.0,0,0
85,gl_finished_goods_inventory:event_type:structural:system:none:none,manufacturing_graph_node/gl_finished_goods_inventory:event_type:structural:system:none:none,column,structural,system,gl_finished_goods_inventory,event_type,,,,,,,,,,,none,none,,TEXT,1,,0,0
86,gl_finished_goods_inventory:event_date:structural:system:none:none,manufacturing_graph_node/gl_finished_goods_inventory:event_date:structural:system:none:none,column,structural,system,gl_finished_goods_inventory,event_date,,,,,,,,,,,none,none,,DATETIME,1,,0,0
87,gl_job_cost_detail:line_id:structural:system:none:none,manufacturing_graph_node/gl_job_cost_detail:line_id:structural:system:none:none,column,structural,system,gl_job_cost_detail,line_id,,,,,,,,,,,none,none,,INTEGER,0,,1,0
88,gl_job_cost_detail:event_id:structural:system:none:none,manufacturing_graph_node/gl_job_cost_detail:event_id:structural:system:none:none,column,structural,system,gl_job_cost_detail,event_id,,,,,,,,,,,none,none,,INTEGER,0,,0,1
89,gl_job_cost_detail:job_id:structural:system:none:none,manufacturing_graph_node/gl_job_cost_detail:job_id:structural:system:none:none,column,structural,system,gl_job_cost_detail,job_id,,,,,,,,,,,none,none,,TEXT,1,,0,1
90,gl_job_cost_detail:amount:structural:system:none:none,manufacturing_graph_node/gl_job_cost_detail:amount:structural:system:none:none,column,structural,system,gl_job_cost_detail,amount,,,,,,,,,,,none,none,,REAL,1,0.0,0,0
91,gl_job_cost_detail:event_type:structural:system:none:none,manufacturing_graph_node/gl_job_cost_detail:event_type:structural:system:none:none,column,structural,system,gl_job_cost_detail,event_type,,,,,,,,,,,none,none,,TEXT,1,,0,0
92,gl_job_cost_detail:event_date:structural:system:none:none,manufacturing_graph_node/gl_job_cost_detail:event_date:structural:system:none:none,column,structural,system,gl_job_cost_detail,event_date,,,,,,,,,,,none,none,,DATETIME,1,,0,0
93,gl_raw_materials_inventory:line_id:structural:system:none:none,manufacturing_graph_node/gl_raw_materials_inventory:line_id:structural:system:none:none,column,structural,system,gl_raw_materials_inventory,line_id,,,,,,,,,,,none,none,,INTEGER,0,,1,0
94,gl_raw_materials_inventory:event_id:structural:system:none:none,manufacturing_graph_node/gl_raw_materials_inventory:event_id:structural:system:none:none,column,structural,system,gl_raw_materials_inventory,event_id,,,,,,,,,,,none,none,,INTEGER,0,,0,1
95,gl_raw_materials_inventory:job_id:structural:system:none:none,manufacturing_graph_node/gl_raw_materials_inventory:job_id:structural:system:none:none,column,structural,system,gl_raw_materials_inventory,job_id,,,,,,,,,,,none,none,,TEXT,0,,0,1
96,gl_raw_materials_inventory:part_id:structural:system:none:none,manufacturing_graph_node/gl_raw_materials_inventory:part_id:structural:system:none:none,column,structural,system,gl_raw_materials_inventory,part_id,,,,,,,,,,,none,none,,TEXT,0,,0,1
97,gl_raw_materials_inventory:amount:structural:system:none:none,manufacturing_graph_node/gl_raw_materials_inventory:amount:structural:system:none:none,column,structural,system,gl_raw_materials_inventory,amount,,,,,,,,,,,none,none,,REAL,1,0.0,0,0
98,gl_raw_materials_inventory:event_type:structural:system:none:none,manufacturing_graph_node/gl_raw_materials_inventory:event_type:structural:system:none:none,column,structural,system,gl_raw_materials_inventory,event_type,,,,,,,,,,,none,none,,TEXT,1,,0,0
99,gl_raw_materials_inventory:event_date:structural:system:none:none,manufacturing_graph_node/gl_raw_materials_inventory:event_date:structural:system:none:none,column,structural,system,gl_raw_materials_inventory,event_date,,,,,,,,,,,none,none,,DATETIME,1,,0,0
100,gl_wip_inventory:line_id:structural:system:none:none,manufacturing_graph_node/gl_wip_inventory:line_id:structural:system:none:none,column,structural,system,gl_wip_inventory,line_id,,,,,,,,,,,none,none,,INTEGER,0,,1,0
101,gl_wip_inventory:event_id:structural:system:none:none,manufacturing_graph_node/gl_wip_inventory:event_id:structural:system:none:none,column,structural,system,gl_wip_inventory,event_id,,,,,,,,,,,none,none,,INTEGER,0,,0,1
102,gl_wip_inventory:job_id:structural:system:none:none,manufacturing_graph_node/gl_wip_inventory:job_id:structural:system:none:none,column,structural,system,gl_wip_inventory,job_id,,,,,,,,,,,none,none,,TEXT,0,,0,1
103,gl_wip_inventory:part_id:structural:system:none:none,manufacturing_graph_node/gl_wip_inventory:part_id:structural:system:none:none,column,structural,system,gl_wip_inventory,part_id,,,,,,,,,,,none,none,,TEXT,0,,0,1
104,gl_wip_inventory:amount:structural:system:none:none,manufacturing_graph_node/gl_wip_inventory:amount:structural:system:none:none,column,structural,system,gl_wip_inventory,amount,,,,,,,,,,,none,none,,REAL,1,0.0,0,0
105,gl_wip_inventory:event_type:structural:system:none:none,manufacturing_graph_node/gl_wip_inventory:event_type:structural:system:none:none,column,structural,system,gl_wip_inventory,event_type,,,,,,,,,,,none,none,,TEXT,1,,0,0
106,gl_wip_inventory:event_date:structural:system:none:none,manufacturing_graph_node/gl_wip_inventory:event_date:structural:system:none:none,column,structural,system,gl_wip_inventory,event_date,,,,,,,,,,,none,none,,DATETIME,1,,0,0
107,inv_trans_dist:dist_id:structural:system:none:none,manufacturing_graph_node/inv_trans_dist:dist_id:structural:system:none:none,column,structural,system,inv_trans_dist,dist_id,,,,,,,,,,,none,none,,INTEGER,0,,1,0
108,inv_trans_dist:in_trans_id:structural:system:none:none,manufacturing_graph_node/inv_trans_dist:in_trans_id:structural:system:none:none,column,structural,system,inv_trans_dist,in_trans_id,,,,,,,,,,,none,none,,INTEGER,1,,0,1
109,inv_trans_dist:out_trans_id:structural:system:none:none,manufacturing_graph_node/inv_trans_dist:out_trans_id:structural:system:none:none,column,structural,system,inv_trans_dist,out_trans_id,,,,,,,,,,,none,none,,INTEGER,1,,0,1
110,inv_trans_dist:dist_qty:structural:system:none:none,manufacturing_graph_node/inv_trans_dist:dist_qty:structural:system:none:none,column,structural,system,inv_trans_dist,dist_qty,,,,,,,,,,,none,none,,REAL,1,,0,0
111,inv_trans_dist:created_at:structural:system:none:none,manufacturing_graph_node/inv_trans_dist:created_at:structural:system:none:none,column,structural,system,inv_trans_dist,created_at,,,,,,,,,,,none,none,,DATETIME,0,CURRENT_TIMESTAMP,0,0
112,inventory_transaction:transaction_id:structural:system:none:none,manufacturing_graph_node/inventory_transaction:transaction_id:structural:system:none:none,column,structural,system,inventory_transaction,transaction_id,,,,,,,,,,,none,none,,INTEGER,0,,1,0
113,inventory_transaction:class:structural:system:none:none,manufacturing_graph_node/inventory_transaction:class:structural:system:none:none,column,structural,system,inventory_transaction,class,,,,,,,,,,,none,none,,TEXT,1,,0,0
114,inventory_transaction:type:structural:system:none:none,manufacturing_graph_node/inventory_transaction:type:structural:system:none:none,column,structural,system,inventory_transaction,type,,,,,,,,,,,none,none,,TEXT,1,,0,0
115,inventory_transaction:part_id:structural:system:none:none,manufacturing_graph_node/inventory_transaction:part_id:structural:system:none:none,column,structural,system,inventory_transaction,part_id,,,,,,,,,,,none,none,,TEXT,1,,0,1
116,inventory_transaction:wo_id:structural:system:none:none,manufacturing_graph_node/inventory_transaction:wo_id:structural:system:none:none,column,structural,system,inventory_transaction,wo_id,,,,,,,,,,,none,none,,TEXT,0,,0,1
117,inventory_transaction:po_id:structural:system:none:none,manufacturing_graph_node/inventory_transaction:po_id:structural:system:none:none,column,structural,system,inventory_transaction,po_id,,,,,,,,,,,none,none,,TEXT,0,,0,1
118,inventory_transaction:site_id:structural:system:none:none,manufacturing_graph_node/inventory_transaction:site_id:structural:system:none:none,column,structural,system,inventory_transaction,site_id,,,,,,,,,,,none,none,,TEXT,0,,0,1
119,inventory_transaction:quantity:structural:system:none:none,manufacturing_graph_node/inventory_transaction:quantity:structural:system:none:none,column,structural,system,inventory_transaction,quantity,,,,,,,,,,,none,none,,REAL,1,,0,0
120,inventory_transaction:trans_date:structural:system:none:none,manufacturing_graph_node/inventory_transaction:trans_date:structural:system:none:none,column,structural,system,inventory_transaction,trans_date,,,,,,,,,,,none,none,,DATE,1,,0,0
121,inventory_transaction:created_at:structural:system:none:none,manufacturing_graph_node/inventory_transaction:created_at:structural:system:none:none,column,structural,system,inventory_transaction,created_at,,,,,,,,,,,none,none,,DATETIME,0,CURRENT_TIMESTAMP,0,0
122,labor_ticket:ticket_id:structural:system:none:none,manufacturing_graph_node/labor_ticket:ticket_id:structural:system:none:none,column,structural,system,labor_ticket,ticket_id,,,,,,,,,,,none,none,,INTEGER,0,,1,0
123,labor_ticket:wo_id:structural:system:none:none,manufacturing_graph_node/labor_ticket:wo_id:structural:system:none:none,column,structural,system,labor_ticket,wo_id,,,,,,,,,,,none,none,,TEXT,1,,0,1
124,labor_ticket:sequence_no:structural:system:none:none,manufacturing_graph_node/labor_ticket:sequence_no:structural:system:none:none,column,structural,system,labor_ticket,sequence_no,,,,,,,,,,,none,none,,INTEGER,1,,0,0
125,labor_ticket:employee_id:structural:system:none:none,manufacturing_graph_node/labor_ticket:employee_id:structural:system:none:none,column,structural,system,labor_ticket,employee_id,,,,,,,,,,,none,none,,TEXT,1,,0,0
126,labor_ticket:resource_id:structural:system:none:none,manufacturing_graph_node/labor_ticket:resource_id:structural:system:none:none,column,structural,system,labor_ticket,resource_id,,,,,,,,,,,none,none,,TEXT,1,,0,0
127,labor_ticket:clock_in:structural:system:none:none,manufacturing_graph_node/labor_ticket:clock_in:structural:system:none:none,column,structural,system,labor_ticket,clock_in,,,,,,,,,,,none,none,,DATETIME,1,,0,0
128,labor_ticket:clock_out:structural:system:none:none,manufacturing_graph_node/labor_ticket:clock_out:structural:system:none:none,column,structural,system,labor_ticket,clock_out,,,,,,,,,,,none,none,,DATETIME,1,,0,0
