part_location_id,part_id,warehouse_id,location_id,description,qty,committed_qty,status,last_count_date,created_at
28,P-10025,WH-1A,STORES,Actuator Bracket Assembly,22.0,0.0,A,2025-07-19,2026-07-05 10:36:29
29,P-10025,WH-2A,STORES,Actuator Bracket Assembly,85.1,0.0,A,2025-01-27,2026-07-05 10:36:29
30,P-10025,WH-3A,STORES,Actuator Bracket Assembly,10.2,0.0,A,2025-02-24,2026-07-05 10:36:29
31,P-10026,WH-1A,STORES,Weldment — Thrust Reverser Link,8.0,0.0,A,2025-11-21,2026-07-05 10:36:29
32,P-10026,WH-2A,STORES,Weldment — Thrust Reverser Link,8.0,0.0,A,2025-02-17,2026-07-05 10:36:29
33,P-10027,WH-1A,STORES,Anodize — Type II Alodine Coated,2.7,0.0,A,2024-06-18,2026-07-05 10:36:29
34,P-10027,WH-3A,STORES,Anodize — Type II Alodine Coated,6.1,0.0,A,2024-10-21,2026-07-05 10:36:29
35,P-10028,WH-2A,STORES,Heat Treat — Solution + Age 6061,94.6,0.0,A,2025-12-06,2026-07-05 10:36:29
36,P-10030,WH-1A,STORES,Chemical Film — Alodine 1200,8.0,0.0,A,2025-01-18,2026-07-05 10:36:29
37,P-10030,WH-3A,STORES,Chemical Film — Alodine 1200,42.6,0.0,A,2025-05-14,2026-07-05 10:36:29
38,P-10031,WH-1A,STORES,Seal Assembly — Hydraulic 3000PSI,18.3,0.0,A,2025-11-30,2026-07-05 10:36:29
39,P-10031,WH-2A,STORES,Seal Assembly — Hydraulic 3000PSI,18.3,0.0,A,2024-08-25,2026-07-05 10:36:29
40,P-10031,WH-3A,STORES,Seal Assembly — Hydraulic 3000PSI,18.3,0.0,A,2024-06-10,2026-07-05 10:36:29
41,P-10032,WH-2A,STORES,Bearing — Angular Contact 25mm,45.7,0.0,A,2025-11-17,2026-07-05 10:36:29
42,P-10034,WH-1A,STORES,Titanium Sheet 0.032 thick,13.6,0.0,A,2025-07-31,2026-07-05 10:36:29
43,P-10035,WH-2A,STORES,Kevlar Honeycomb Panel 1/4 cell,19.5,0.0,A,2025-05-20,2026-07-05 10:36:29
44,P-10035,WH-3A,STORES,Kevlar Honeycomb Panel 1/4 cell,19.5,0.0,A,2024-03-31,2026-07-05 10:36:29
45,P-10036,WH-1A,STORES,Machined Spar Cap Al 7075,2.0,0.0,A,2025-04-19,2026-07-05 10:36:29
46,P-10036,WH-2A,STORES,Machined Spar Cap Al 7075,45.1,0.0,A,2025-06-03,2026-07-05 10:36:29
47,P-10037,WH-1A,STORES,Composite Fuselage Skin Section,9.1,0.0,A,2025-10-25,2026-07-05 10:36:29
48,P-10037,WH-3A,STORES,Composite Fuselage Skin Section,20.5,0.0,A,2024-04-03,2026-07-05 10:36:29
49,P-10038,WH-1A,STORES,Hydraulic Fitting AN816-4D,17.7,0.0,A,2024-01-30,2026-07-05 10:36:29
50,P-10040,WH-1A,STORES,Electrical Harness — Avionics Bay,37.3,0.0,A,2025-11-29,2026-07-05 10:36:29
51,P-10040,WH-2A,STORES,Electrical Harness — Avionics Bay,37.3,0.0,A,2025-12-10,2026-07-05 10:36:29
52,P-10040,WH-3A,STORES,Electrical Harness — Avionics Bay,37.3,0.0,A,2025-07-13,2026-07-05 10:36:29
