rowid_pk,wo_id,workorder_type,sequence_no,resource_id,service_id,vendor_id,run_type,setup_hrs,run_hrs,act_setup_hrs,act_run_hrs,est_atl_lab_cost,est_atl_bur_cost,est_atl_ser_cost,act_atl_lab_cost,act_atl_bur_cost,act_atl_ser_cost,status,sched_start_date,sched_finish_date,service_begin_date,close_date,last_disp_date,last_recv_date,operation_type_id
43,WO-00010,M,150,LB-004,,,HR,0.25,0.5,0.0,0.0,13.0,26.0,0.0,13.59,6.88,0.0,C,2025-04-19,2025-09-04,,2025-09-04,,,INSPECT
56,WO-00015,M,10,LB-005,,,HR,1.0,4.0,0.0,0.0,52.0,208.0,0.0,50.03,24.94,0.0,C,2025-07-23,2025-08-22,,2025-08-22,,,WELD
57,WO-00015,M,70,SV-002,SVC-HT-SOLN,S-004,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,2025-08-22,2025-09-21,,2025-09-21,,,HTRT
58,WO-00015,M,130,SV-003,SVC-NDT-FPI,S-013,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,2025-09-22,2025-10-21,,2025-10-21,,,NDT
59,WO-00015,M,150,MC-002,,,HR,0.5,1.5,0.0,0.0,26.0,78.0,0.0,25.02,12.6,0.0,C,2025-10-22,2025-11-21,,2025-11-21,,,TURN
60,WO-00015,M,170,LB-004,,,HR,0.25,0.5,0.0,0.0,13.0,26.0,0.0,12.51,6.33,0.0,C,2025-11-21,2025-12-21,,2025-12-21,,,INSPECT
61,WO-JUL-01,W,30,MC-001,,,HR,0.0,0.0,0.0,0.88,162.5,83.6,0.0,178.68,92.15,0.0,C,2026-07-01,2026-07-16,,2026-07-16,,,CNC
62,WO-JUL-02,W,30,MC-001,,,HR,0.0,0.0,0.0,0.95,175.0,90.25,0.0,185.08,95.0,0.0,C,2026-07-01,2026-07-02,,2026-07-02,,,CNC
63,WO-JUL-03,W,10,MC-001,,,HR,0.0,0.0,0.0,1.01,187.5,95.95,0.0,203.68,104.5,0.0,C,2026-07-01,2026-07-02,,2026-07-02,,,CNC
64,WO-JUL-04,W,30,MC-001,,,HR,0.0,0.0,0.0,1.08,200.0,102.6,0.0,214.03,110.2,0.0,C,2026-07-01,2026-07-03,,2026-07-03,,,CNC
65,WO-JUL-05,W,30,MC-001,,,HR,0.0,0.0,0.0,1.15,212.5,109.25,0.0,223.75,114.95,0.0,C,2026-07-01,2026-07-03,,2026-07-03,,,CNC
66,WO-JUL-06,W,30,MC-001,,,HR,0.0,0.0,0.0,1.22,225.0,115.9,0.0,237.14,121.6,0.0,C,2026-07-01,2026-07-03,,2026-07-03,,,CNC
67,WO-JUL-07,W,20,MC-001,,,HR,0.0,0.0,0.0,1.28,237.5,121.6,0.0,236.36,121.6,0.0,C,2026-07-01,2026-07-04,,2026-07-04,,,CNC
68,WO-JUL-08,W,10,MC-001,,,HR,0.0,0.0,0.0,1.35,250.0,128.25,0.0,273.92,140.6,0.0,C,2026-07-01,2026-07-05,,2026-07-05,,,CNC
69,WO-JUL-09,W,30,MC-001,,,HR,0.0,0.0,0.0,1.42,262.5,134.9,0.0,292.66,150.1,0.0,C,2026-07-02,2026-07-06,,2026-07-06,,,CNC
70,WO-JUL-10,W,30,MC-001,,,HR,0.0,0.0,0.0,1.49,275.0,141.55,0.0,306.2,157.7,0.0,C,2026-07-03,2026-07-07,,2026-07-07,,,CNC
71,WO-JUL-11,W,30,MC-001,,,HR,0.0,0.0,0.0,1.55,287.5,147.25,0.0,293.51,151.05,0.0,C,2026-07-04,2026-07-08,,2026-07-08,,,CNC
72,WO-JUL-12,W,30,MC-001,,,HR,0.0,0.0,0.0,1.62,300.0,153.9,0.0,321.97,165.3,0.0,C,2026-07-05,2026-07-09,,2026-07-09,,,CNC
73,WO-JUL-13,W,20,MC-001,,,HR,0.0,0.0,0.0,1.69,312.5,160.55,0.0,317.0,162.45,0.0,C,2026-07-06,2026-07-10,,2026-07-10,,,CNC
74,WO-JUL-14,W,30,MC-001,,,HR,0.0,0.0,0.0,1.76,325.0,167.2,0.0,341.38,175.75,0.0,C,2026-07-07,2026-07-11,,2026-07-11,,,CNC
75,WO-JUL-15,W,30,MC-001,,,HR,0.0,0.0,0.0,1.82,337.5,172.9,0.0,344.27,176.7,0.0,C,2026-07-08,2026-07-12,,2026-07-12,,,CNC
76,WO-JUL-16,W,30,MC-001,,,HR,0.0,0.0,0.0,1.89,350.0,179.55,0.0,365.19,187.15,0.0,C,2026-07-09,2026-07-13,,2026-07-13,,,CNC
77,WO-JUL-17,W,30,MC-001,,,HR,0.0,0.0,0.0,1.96,362.5,186.2,0.0,388.78,199.5,0.0,C,2026-07-10,2026-07-14,,2026-07-14,,,CNC
78,WO-JUL-18,W,10,MC-001,,,HR,0.0,0.0,0.0,2.03,375.0,192.85,0.0,359.88,185.25,0.0,C,2026-07-11,2026-07-15,,2026-07-15,,,CNC
79,WO-JUL-19,W,20,MC-001,,,HR,0.0,0.0,0.0,2.09,387.5,198.55,0.0,429.87,220.4,0.0,C,2026-07-12,2026-07-16,,2026-07-16,,,CNC
80,WO-JUL-20,W,20,MC-001,,,HR,0.0,0.0,0.0,2.16,400.0,205.2,0.0,432.98,222.3,0.0,C,2026-07-13,2026-07-17,,2026-07-17,,,CNC
81,WO-JUL-21,W,20,MC-001,,,HR,0.0,0.0,0.0,2.23,412.5,211.85,0.0,417.4,214.7,0.0,C,2026-07-14,2026-07-18,,2026-07-18,,,CNC
82,WO-JUL-22,W,10,MC-001,,,HR,0.0,0.0,0.0,2.3,425.0,218.5,0.0,394.99,203.3,0.0,C,2026-07-15,2026-07-19,,2026-07-19,,,CNC
83,WO-JUL-23,W,20,MC-001,,,HR,0.0,0.0,0.0,2.36,437.5,224.2,0.0,472.88,243.2,0.0,C,2026-07-16,2026-07-20,,2026-07-20,,,CNC
84,WO-JUL-24,W,10,MC-001,,,HR,0.0,0.0,0.0,2.43,450.0,230.85,0.0,428.34,220.4,0.0,C,2026-07-17,2026-07-21,,2026-07-21,,,CNC
85,WO-JUL-25,W,20,MC-001,,,HR,0.0,0.0,0.0,2.5,462.5,237.5,0.0,464.9,238.45,0.0,C,2026-07-18,2026-07-22,,2026-07-22,,,CNC
86,WO-JUL-26,W,20,MC-001,,,HR,0.0,0.0,0.0,2.57,475.0,244.15,0.0,462.27,237.5,0.0,C,2026-07-19,2026-07-23,,2026-07-23,,,CNC
87,WO-JUL-27,W,30,MC-001,,,HR,0.0,0.0,0.0,2.64,487.5,250.8,0.0,506.48,260.3,0.0,C,2026-07-20,2026-07-24,,2026-07-24,,,CNC
88,WO-JUL-28,W,30,MC-001,,,HR,0.0,0.0,0.0,2.7,500.0,256.5,0.0,510.28,262.2,0.0,C,2026-07-21,2026-07-25,,2026-07-25,,,CNC
89,WO-JUL-29,W,10,MC-001,,,HR,0.0,0.0,0.0,2.77,512.5,263.15,0.0,483.94,248.9,0.0,C,2026-07-22,2026-07-26,,2026-07-26,,,CNC
90,WO-JUL-30,W,10,MC-001,,,HR,0.0,0.0,0.0,2.84,525.0,269.8,0.0,483.12,247.95,0.0,C,2026-07-23,2026-07-27,,2026-07-27,,,CNC
91,WO-JUL-31,W,20,MC-001,,,HR,0.0,0.0,0.0,2.91,537.5,276.45,0.0,525.46,269.8,0.0,C,2026-07-24,2026-07-28,,2026-07-28,,,CNC
92,WO-MRP-001,M,10,MC-001,,,HR,0.5,2.5,0.0,0.0,26.0,130.0,0.0,0.0,0.0,0.0,Q,2026-01-01,2026-01-02,,,,,CNC
93,WO-MRP-001,M,130,MC-007,,,HR,0.25,1.0,0.0,0.0,13.0,52.0,0.0,0.0,0.0,0.0,Q,2026-01-02,2026-01-03,,,,,INSPECT
94,WO-MRP-001,M,170,SV-001,SVC-ANODIZE,S-011,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,2026-01-05,2026-01-06,,,,,ANOD
95,WO-MRP-001,M,190,LB-004,,,HR,0.25,0.5,0.0,0.0,13.0,26.0,0.0,0.0,0.0,0.0,Q,2026-01-06,2026-01-07,,,,,INSPECT
100,WO-MRP-003,M,30,MC-001,,,HR,0.5,2.5,0.0,0.0,26.0,130.0,0.0,26.67,13.3,0.0,C,2026-01-01,2026-03-07,,2026-03-07,,,CNC
101,WO-MRP-003,M,70,MC-007,,,HR,0.25,1.0,0.0,0.0,13.0,52.0,0.0,13.33,6.72,0.0,C,2026-03-09,2026-05-10,,2026-05-10,,,INSPECT
102,WO-MRP-003,M,130,SV-001,SVC-ANODIZE,S-013,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,2026-05-10,2026-05-11,,,,,ANOD
103,WO-MRP-003,M,150,LB-004,,,HR,0.25,0.5,0.0,0.0,13.0,26.0,0.0,0.0,0.0,0.0,Q,2026-05-12,2026-05-13,,,,,INSPECT
112,WO-MRP-002,M,30,MC-001,,,HR,0.5,2.5,0.0,0.0,26.0,130.0,0.0,0.0,0.0,0.0,Q,2026-07-01,2026-07-02,,,,,CNC
113,WO-MRP-002,M,90,MC-007,,,HR,0.25,1.0,0.0,0.0,13.0,52.0,0.0,0.0,0.0,0.0,Q,2026-07-04,2026-07-05,,,,,INSPECT
114,WO-MRP-002,M,210,SV-001,SVC-ANODIZE,S-015,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,2026-07-06,2026-07-07,,,,,ANOD
115,WO-MRP-002,M,290,LB-004,,,HR,0.25,0.5,0.0,0.0,13.0,26.0,0.0,0.0,0.0,0.0,Q,2026-07-09,2026-07-10,,,,,INSPECT
116,WO-MRP-004,M,10,MC-001,,,HR,0.5,2.5,0.0,0.0,26.0,130.0,0.0,0.0,0.0,0.0,Q,2026-07-01,2026-07-02,,,,,CNC
117,WO-MRP-004,M,30,MC-007,,,HR,0.25,1.0,0.0,0.0,13.0,52.0,0.0,0.0,0.0,0.0,Q,2026-07-02,2026-07-03,,,,,INSPECT
118,WO-MRP-004,M,90,SV-001,SVC-ANODIZE,S-011,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,2026-07-03,2026-07-04,,,,,ANOD
119,WO-MRP-004,M,130,LB-004,,,HR,0.25,0.5,0.0,0.0,13.0,26.0,0.0,0.0,0.0,0.0,Q,2026-07-06,2026-07-07,,,,,INSPECT
120,WO-MRP-005,M,10,MC-001,,,HR,0.5,2.5,0.0,0.0,26.0,130.0,0.0,0.0,0.0,0.0,Q,2026-07-01,2026-07-02,,,,,CNC
121,WO-MRP-005,M,70,MC-007,,,HR,0.25,1.0,0.0,0.0,13.0,52.0,0.0,0.0,0.0,0.0,Q,2026-07-02,2026-07-03,,,,,INSPECT
122,WO-MRP-005,M,110,SV-001,SVC-ANODIZE,S-013,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,2026-07-04,2026-07-05,,,,,ANOD
123,WO-MRP-005,M,130,LB-004,,,HR,0.25,0.5,0.0,0.0,13.0,26.0,0.0,0.0,0.0,0.0,Q,2026-07-05,2026-07-06,,,,,INSPECT
