transaction_id,class,type,part_id,wo_id,po_id,site_id,quantity,trans_date,created_at
61,A,O,C-20001,,,SITE-1,11.7,2025-05-10,2026-09-21 14:37:59
62,A,O,P-10031,,,SITE-3,19.3,2025-01-21,2026-09-21 14:37:59
63,A,O,P-10030,,,SITE-1,24.5,2024-09-01,2026-09-21 14:37:59
64,A,O,P-10024,,,SITE-2,2.0,2025-04-29,2026-09-21 14:37:59
65,A,O,P-10034,,,SITE-3,20.0,2025-10-29,2026-09-21 14:37:59
66,A,I,C-20001,,,SITE-1,4.0,2025-08-27,2026-09-21 14:37:59
67,A,O,P-10016,,,SITE-2,3.4,2025-04-12,2026-09-21 14:37:59
68,A,I,P-10019,,,SITE-2,21.9,2024-06-07,2026-09-21 14:37:59
69,A,I,P-10040,,,SITE-2,9.1,2025-12-10,2026-09-21 14:37:59
70,A,O,P-10015,,,SITE-2,21.5,2025-06-30,2026-09-21 14:37:59
71,A,O,P-10030,,,SITE-3,18.2,2025-05-14,2026-09-21 14:37:59
72,A,I,P-10014,,,SITE-1,16.1,2024-10-21,2026-09-21 14:37:59
73,A,I,P-10015,,,SITE-2,24.5,2025-10-10,2026-09-21 14:37:59
74,A,I,P-10038,,,SITE-1,17.7,2024-01-30,2026-09-21 14:37:59
75,A,I,P-10030,,,SITE-1,8.0,2025-01-18,2026-09-21 14:37:59
76,A,O,P-10019,,,SITE-1,13.7,2025-08-02,2026-09-21 14:37:59
77,A,I,P-10020,,,SITE-1,2.9,2025-01-26,2026-09-21 14:37:59
78,A,I,C-20001,,,SITE-3,4.4,2025-04-17,2026-09-21 14:37:59
79,A,O,P-10039,,,SITE-2,17.0,2025-04-21,2026-09-21 14:37:59
80,A,O,C-20004,,,SITE-1,2.8,2024-12-19,2026-09-21 14:37:59
81,A,O,P-10037,,,SITE-3,7.0,2024-11-05,2026-09-21 14:37:59
82,A,I,P-10034,,,SITE-2,3.6,2025-01-25,2026-09-21 14:37:59
83,A,O,P-10028,,,SITE-3,8.1,2025-11-05,2026-09-21 14:37:59
84,A,O,P-10027,,,SITE-1,14.6,2025-12-03,2026-09-21 14:37:59
85,A,I,C-20001,,,SITE-2,19.6,2024-08-23,2026-09-21 14:37:59
86,A,O,P-10024,,,SITE-3,5.6,2024-09-13,2026-09-21 14:37:59
87,A,I,P-10016,,,SITE-3,16.5,2024-11-12,2026-09-21 14:37:59
88,I,O,P-10037,,,SITE-1,5.0,2025-03-27,2026-09-21 14:37:59
89,I,O,P-10011,,,SITE-2,2.0,2024-02-04,2026-09-21 14:37:59
90,I,O,C-20004,,,SITE-2,4.0,2025-08-16,2026-09-21 14:37:59
91,I,O,P-10026,,,SITE-2,1.0,2025-01-08,2026-09-21 14:37:59
92,I,O,P-10026,,,SITE-3,10.0,2024-05-14,2026-09-21 14:37:59
93,I,O,P-10040,,,SITE-3,4.0,2024-04-02,2026-09-21 14:37:59
94,I,O,P-10032,,,SITE-2,10.0,2024-10-29,2026-09-21 14:37:59
95,I,O,P-10013,,,SITE-2,2.0,2024-11-30,2026-09-21 14:37:59
96,I,O,P-10012,,,SITE-1,2.0,2025-03-01,2026-09-21 14:37:59
97,I,O,C-20003,,,SITE-1,1.0,2024-06-28,2026-09-21 14:37:59
98,I,O,P-10040,,,SITE-3,10.0,2024-07-24,2026-09-21 14:37:59
99,I,O,P-10011,,,SITE-3,2.0,2024-05-15,2026-09-21 14:37:59
100,I,O,P-10040,,,SITE-1,1.0,2025-07-06,2026-09-21 14:37:59
101,I,O,P-10031,,,SITE-1,10.0,2025-01-09,2026-09-21 14:37:59
102,I,O,P-10039,,,SITE-3,1.0,2025-06-27,2026-09-21 14:37:59
103,I,O,P-10014,,,SITE-2,4.0,2025-05-28,2026-09-21 14:37:59
104,I,O,P-10012,,,SITE-2,1.0,2024-10-06,2026-09-21 14:37:59
105,I,O,P-10032,,,SITE-2,10.0,2024-06-17,2026-09-21 14:37:59
106,I,O,P-10032,,,SITE-1,5.0,2024-09-20,2026-09-21 14:37:59
107,I,O,P-10032,,,SITE-1,5.0,2025-05-08,2026-09-21 14:37:59
108,I,O,C-20002,,,SITE-1,10.0,2024-10-29,2026-09-21 14:37:59
109,I,O,P-10011,,,SITE-1,5.0,2024-12-12,2026-09-21 14:37:59
110,I,O,P-10031,,,SITE-2,1.0,2024-04-27,2026-09-21 14:37:59
111,I,O,C-20004,,,SITE-2,10.0,2025-04-24,2026-09-21 14:37:59
112,I,O,P-10031,,,SITE-2,10.0,2024-03-18,2026-09-21 14:37:59
113,R,I,PN-10010,,PO-STD-001,SITE-1,200.0,2025-12-12,2026-09-21 14:38:00
114,R,I,P-10019,,PO-STD-001,SITE-1,500.0,2025-12-12,2026-09-21 14:38:00
115,R,I,P-10021,,PO-STD-001,SITE-1,250.0,2025-12-12,2026-09-21 14:38:00
116,R,I,P-10022,,PO-STD-001,SITE-1,200.0,2025-12-12,2026-09-21 14:38:00
117,I,O,P-10037,,,SITE-1,24.0,2026-07-23,2026-09-21 14:38:01
118,I,O,P-10014,,,SITE-1,24.0,2026-07-23,2026-09-21 14:38:01
119,I,O,P-10024,,,SITE-1,18.0,2026-07-23,2026-09-21 14:38:01
