line_id,event_id,job_id,part_id,amount,event_type,event_date
463,463,WO-JUL-16,MCH-51016,-2690.35,FG_COMPLETION,2026-07-16
464,464,WO-JUL-17,MCH-51017,-3014.28,FG_COMPLETION,2026-07-17
465,465,WO-JUL-18,MCH-51018,-808.38,FG_COMPLETION,2026-07-18
466,466,WO-JUL-19,MCH-51019,-5914.19,FG_COMPLETION,2026-07-19
467,467,WO-JUL-20,MCH-51020,-1107.41,FG_COMPLETION,2026-07-20
468,468,WO-JUL-21,MCH-51021,-1684.82,FG_COMPLETION,2026-07-21
469,469,WO-JUL-22,MCH-51022,-2306.94,FG_COMPLETION,2026-07-22
470,470,WO-JUL-23,MCH-51023,-4025.2,FG_COMPLETION,2026-07-23
471,471,WO-JUL-24,MCH-51024,-2459.63,FG_COMPLETION,2026-07-24
472,472,WO-JUL-25,MCH-51025,-1238.59,FG_COMPLETION,2026-07-25
473,473,WO-JUL-26,MCH-51001,-1609.67,FG_COMPLETION,2026-07-26
474,474,WO-JUL-27,MCH-51002,-4770.88,FG_COMPLETION,2026-07-27
475,475,WO-JUL-28,MCH-51003,-3353.32,FG_COMPLETION,2026-07-28
476,476,WO-JUL-29,MCH-51004,-1742.48,FG_COMPLETION,2026-07-29
477,477,WO-JUL-30,MCH-51005,-4227.57,FG_COMPLETION,2026-07-30
478,478,WO-JUL-31,MCH-51006,-5071.28,FG_COMPLETION,2026-07-31
