line_id,po_id,part_id,part_description,quantity,unit_cost,line_total,created_at
95,PO-MRP-BLK3,HDW-53013,"Retaining Ring, Nacelle Assy",100.0,304.68,30468.0,2026-07-05 20:40:11
96,PO-MRP-BLK1,HDW-53014,"Self-Locking Nut, Flap Track",85.0,570.89,48525.65,2026-07-05 20:40:11
97,PO-MRP-BLK2,HDW-53015,"Washer, Wing Station 42",112.0,711.94,79737.28,2026-07-05 20:40:11
98,PO-MRP-BLK3,HDW-53016,"Cotter Pin, Fwd Fuselage",86.0,934.91,80402.26,2026-07-05 20:40:11
99,PO-MRP-BLK1,HDW-53017,"Shear Bolt, MLG Bay",27.0,636.64,17189.28,2026-07-05 20:40:11
100,PO-MRP-BLK2,HDW-53018,"Clevis Pin, Aft Pylon",101.0,705.65,71270.65,2026-07-05 20:40:11
101,PO-MRP-BLK3,HDW-53019,"Blind Rivet, Center Wing Box",56.0,462.86,25920.16,2026-07-05 20:40:11
102,PO-MRP-BLK1,HDW-53020,"Hi-Lok Pin, Empennage",90.0,795.19,71567.1,2026-07-05 20:40:11
103,PO-MRP-BLK2,RMT-54001,"Aluminum Extrusion, Fwd Fuselage",82.0,712.67,58438.94,2026-07-05 20:40:11
104,PO-MRP-BLK3,RMT-54002,"Inconel Rod, Wing Station 42",68.0,606.5,41242.0,2026-07-05 20:40:11
105,PO-MRP-BLK1,RMT-54003,"Aluminum Extrusion, Flap Track",113.0,52.65,5949.45,2026-07-05 20:40:11
106,PO-MRP-BLK2,RMT-54004,"Aluminum Plate, Nacelle Assy",48.0,877.32,42111.36,2026-07-05 20:40:11
107,PO-MRP-BLK3,RMT-54005,"Stainless Bar, Empennage",37.0,150.71,5576.27,2026-07-05 20:40:11
108,PO-MRP-BLK1,RMT-54006,"Inconel Rod, Center Wing Box",91.0,263.18,23949.38,2026-07-05 20:40:11
109,PO-MRP-BLK2,RMT-54007,"Titanium Sheet, Aft Pylon",54.0,341.73,18453.42,2026-07-05 20:40:11
110,PO-MRP-BLK3,RMT-54008,"Steel Tube, MLG Bay",32.0,551.52,17648.64,2026-07-05 20:40:11
111,PO-MRP-BLK1,RMT-54009,"Stainless Bar, Fwd Fuselage",101.0,603.63,60966.63,2026-07-05 20:40:11
112,PO-MRP-BLK2,RMT-54010,"Titanium Sheet, Aft Pylon",127.0,133.81,16993.87,2026-07-05 20:40:11
113,PO-MRP-BLK3,RMT-54011,"Steel Tube, Center Wing Box",66.0,181.98,12010.68,2026-07-05 20:40:11
114,PO-MRP-BLK1,RMT-54012,"Stainless Bar, Empennage",44.0,667.35,29363.4,2026-07-05 20:40:11
115,PO-MRP-BLK2,RMT-54013,"Steel Tube, Nacelle Assy",57.0,860.28,49035.96,2026-07-05 20:40:11
116,PO-MRP-BLK3,RMT-54014,"Stainless Bar, Flap Track",24.0,252.41,6057.84,2026-07-05 20:40:11
117,PO-MRP-BLK1,RMT-54015,"Steel Tube, Wing Station 42",21.0,699.3,14685.3,2026-07-05 20:40:11
118,PO-MRP-BLK2,OSP-55001,"Passivate Manifold, Flap Track",59.0,24.65,1454.35,2026-07-05 20:40:11
119,PO-MRP-BLK3,OSP-55002,"Anodize Detail, MLG Bay",93.0,664.64,61811.52,2026-07-05 20:40:11
120,PO-MRP-BLK1,OSP-55003,"Heat-Treat Lot, Fwd Fuselage",120.0,570.51,68461.2,2026-07-05 20:40:11
121,PO-MRP-BLK2,OSP-55004,"Passivate Manifold, Center Wing Box",113.0,256.7,29007.1,2026-07-05 20:40:11
122,PO-MRP-BLK3,OSP-55005,"Heat-Treat Lot, Aft Pylon",108.0,40.69,4394.52,2026-07-05 20:40:11
123,PO-000009,AVN-52002,"Wire Harness, Flap Track [PRA demo line]",20.0,833.69,16673.8,2026-07-08 04:02:08
124,PO-000010,P-10013,Carbon Fiber Panel 0.063 thick [PRA demo line],20.0,2100.0,42000.0,2026-07-08 04:02:08
125,PO-MRP-P-10037,P-10037,Composite Fuselage Skin Section,72.0,8742.06,629428.32,2026-07-25 23:11:11
126,PO-SVC-001,P-10028,Heat Treat — Solution + Age 6061,24.0,45.0,1080.0,2026-07-25 23:11:11
